method,pair,group,first_vowel,second_vowel,anchor_pair_length,midpoint_shift_along_axis,plot_x,plot_y,monotonic_north_central_south
pca,uː->oː,North,uː,oː,7.573081840041759,-2.244440285173363,34.85319429873411,3.26481488648363,0
pca,uː->oː,Central,uː,oː,7.573081840041759,-4.485449975303761,34.6593910776668,5.497428767736338,0
pca,uː->oː,South,uː,oː,7.573081840041759,4.496815740961771,35.43618023478707,-3.451185426818008,0
pca,oː->ɑː,North,oː,ɑː,27.262853415824775,1.7979368246345575,25.234461522658158,-14.372832039350312,0
pca,oː->ɑː,Central,oː,ɑː,27.262853415824775,-7.691145564589322,31.47075793768845,-7.2208189232158695,0
pca,oː->ɑː,South,oː,ɑː,27.262853415824775,3.8437814710644997,23.889917012355568,-15.914804924047454,0
pca,ɑː->æː,North,ɑː,æː,47.12769533944659,1.156864295477037,-6.179257461315547,-16.051551505756606,0
pca,ɑː->æː,Central,ɑː,æː,47.12769533944659,-5.650446614169307,0.3295395263497598,-18.04530264216986,0
pca,ɑː->æː,South,ɑː,æː,47.12769533944659,1.0877071184172078,-6.1131329619799,-16.071806523073178,0
pca,æː->eː,North,æː,eː,24.183879714413216,-2.596689836761182,-23.00098024841825,-1.183778107422655,0
pca,æː->eː,Central,æː,eː,24.183879714413216,5.595227160151159,-19.030079608858685,5.981377312737242,0
pca,æː->eː,South,æː,eː,24.183879714413216,-2.05885229046152,-22.74027210679701,-0.7133522459927799,0
pca,yː->ʉ̟ː,North,yː,ʉ̟ː,10.203868683987409,-2.065320683169229,-5.293855095430662,19.596264446719466,0
pca,yː->ʉ̟ː,Central,yː,ʉ̟ː,10.203868683987409,5.775457779696404,0.4636011989042661,14.273717695157707,0
pca,yː->ʉ̟ː,South,yː,ʉ̟ː,10.203868683987409,0.21985284984093942,-3.615860135671467,18.045022688967663,0
pca,ʉ̟ː->øː,North,ʉ̟ː,øː,23.65566518158654,-1.3543957499219776,-5.571157491559138,5.842778625647751,0
pca,ʉ̟ː->øː,Central,ʉ̟ː,øː,23.65566518158654,-3.282376787622272,-4.551302521002513,7.478934706455096,0
pca,ʉ̟ː->øː,South,ʉ̟ː,øː,23.65566518158654,2.3655738238484294,-7.538930714398746,2.685874735242944,0
