region_marker,geographic_position,first_x,first_y,second_x,second_y,pair_length,directed_angle_from_horizontal_deg,pair,first_vowel,second_vowel
North,257.8014954588672,18.00191739449741,-21.62883011734057,-27.750933299829867,-7.627900052992871,47.847146093828414,162.98525062968497,ɑː->æː,ɑː,æː
Centre,114.57844242616318,23.042632534080052,-22.666654819868974,-24.463769869649987,-7.857975595503384,49.760981197272265,162.6867172403688,ɑː->æː,ɑː,æː
South,42.96691590981119,15.587028447459115,-23.466734230080124,-28.445955537419565,-10.804179856856472,45.81750715466117,163.95636527590435,ɑː->æː,ɑː,æː
