village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ragunda,145.0,241.0,305.5896736367263,North,-79.33901469636301,28.468349776990777,ʉ̟ː->øː,ʉ̟ː,øː
rimforsa,134.0,437.0,110.59203999318285,Centre,-71.58655142988893,28.699257161559025,ʉ̟ː->øː,ʉ̟ː,øː
s_finnskoga,74.0,333.0,202.8121429239692,North,-129.28773295906376,39.42694318661741,ʉ̟ː->øː,ʉ̟ː,øː
s_mellosa,129.0,395.0,151.12029911541478,Centre,-135.2684769062992,35.471436551074675,ʉ̟ː->øː,ʉ̟ː,øː
sarna,87.0,296.0,241.489166095073,North,-138.13691740023856,28.344668578539537,ʉ̟ː->øː,ʉ̟ː,øː
segerstad,153.0,510.0,41.911420243744836,South,-132.01803766286724,18.224627530687375,ʉ̟ː->øː,ʉ̟ː,øː
skee,42.0,404.0,127.38890525392424,Centre,-129.32197013977662,28.47513075268294,ʉ̟ː->øː,ʉ̟ː,øː
skinnskatteberg,135.0,371.0,175.79252338443186,North,-125.30802330492493,25.912991678863857,ʉ̟ː->øː,ʉ̟ː,øː
skog,157.0,317.0,232.75723014860148,North,-117.64938200862427,25.965550584271284,ʉ̟ː->øː,ʉ̟ː,øː
skuttunge,171.0,364.0,188.8401092599555,North,-124.62594010486364,39.218498189680126,ʉ̟ː->øː,ʉ̟ː,øː
sorsele,166.0,143.0,405.736623807046,North,-132.10015330617077,22.643938962270838,ʉ̟ː->øː,ʉ̟ː,øː
sorunda,181.0,406.0,149.16608670177132,Centre,-109.94398128479494,29.254181663543925,ʉ̟ː->øː,ʉ̟ː,øː
st_anna,157.0,436.0,115.50682570414243,Centre,-92.93551674297471,32.56748813342463,ʉ̟ː->øː,ʉ̟ː,øː
stenberga,128.0,474.0,73.11094801174586,South,-150.06742720432828,21.04792441212978,ʉ̟ː->øː,ʉ̟ː,øː
storsjo,87.0,251.0,285.8275543303726,North,-46.63320632125935,24.745703116505318,ʉ̟ː->øː,ʉ̟ː,øː
strom,132.0,211.0,332.92758406040195,North,-85.37434252089314,28.083764417458056,ʉ̟ː->øː,ʉ̟ː,øː
tjallmo,128.0,416.0,130.2582039594654,Centre,-89.5545074223801,29.04181777377631,ʉ̟ː->øː,ʉ̟ː,øː
torhamn,135.0,521.0,27.997895933433075,South,-126.25651315499117,31.899117268904725,ʉ̟ː->øː,ʉ̟ː,øː
torp,145.0,265.0,281.9425332445665,North,-134.8496663338953,37.525743857991934,ʉ̟ː->øː,ʉ̟ː,øː
torsas,144.0,504.0,46.285579526498864,South,-122.79276503714966,20.188853103833907,ʉ̟ː->øː,ʉ̟ː,øː
torso,95.0,414.0,126.59083766943033,Centre,-139.53890931648135,17.77564599852516,ʉ̟ː->øː,ʉ̟ː,øː
v_vingaker,139.0,402.0,145.93168962913032,Centre,-101.89390418012765,27.10364192876986,ʉ̟ː->øː,ʉ̟ː,øː
vackelsang,116.0,500.0,45.44304483319151,South,-174.41533559073312,12.823069337420899,ʉ̟ː->øː,ʉ̟ː,øː
vaxtorp,78.0,504.0,35.00965688106874,South,-107.27783701309222,19.677641970762938,ʉ̟ː->øː,ʉ̟ː,øː
vemdalen,102.0,266.0,273.610801277416,North,-133.52180319357615,29.195926435758764,ʉ̟ː->øː,ʉ̟ː,øː
viby,116.0,402.0,142.0022014345107,Centre,-106.01006844355067,26.83304557267305,ʉ̟ː->øː,ʉ̟ː,øː
vilhelmina,152.0,178.0,368.85934835581264,North,-94.01841643614044,21.026200065870857,ʉ̟ː->øː,ʉ̟ː,øː
villberga,166.0,379.0,173.2064099508079,North,-127.3184409138121,32.04669862522775,ʉ̟ː->øː,ʉ̟ː,øː
vindeln,212.0,194.0,363.3454268629456,North,-132.4456635900966,32.37098399564883,ʉ̟ː->øː,ʉ̟ː,øː
