region_marker,geographic_position,first_x,first_y,second_x,second_y,pair_length,directed_angle_from_horizontal_deg,pair,first_vowel,second_vowel
North,238.70508838783996,5.347220115444911,15.009058606916135,-9.440335067726252,-6.330543062029388,25.962480383903902,-124.72052852703906,ʉ̟ː->øː,ʉ̟ː,øː
Centre,114.57844242616318,0.11267630031994208,14.506819339504421,-10.88792269738229,-4.830417533909541,22.24728990701492,-119.63475296449845,ʉ̟ː->øː,ʉ̟ː,øː
South,42.96691590981119,-1.9448775097042756,9.975629177829532,-11.82254767873429,-4.433940313875565,17.470090466406397,-124.43039478487351,ʉ̟ː->øː,ʉ̟ː,øː
