village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
skog,157.0,317.0,232.75723014860148,North,-120.71503218299503,24.671486643521245,oː->ɑː,oː,ɑː
skuttunge,171.0,364.0,188.8401092599555,North,-143.69439671436675,38.537024330633216,oː->ɑː,oː,ɑː
sorsele,166.0,143.0,405.736623807046,North,-104.63756265494084,21.649253184826115,oː->ɑː,oː,ɑː
sorunda,181.0,406.0,149.16608670177132,Centre,-116.27520835292225,31.527823309993217,oː->ɑː,oː,ɑː
st_anna,157.0,436.0,115.50682570414243,Centre,-131.46557283110468,29.534586331956454,oː->ɑː,oː,ɑː
stenberga,128.0,474.0,73.11094801174586,South,-128.55036722733456,31.87376953544506,oː->ɑː,oː,ɑː
storsjo,87.0,251.0,285.8275543303726,North,-124.71084556368558,23.04925738033177,oː->ɑː,oː,ɑː
strom,132.0,211.0,332.92758406040195,North,-137.8979271057814,32.01896932744941,oː->ɑː,oː,ɑː
tjallmo,128.0,416.0,130.2582039594654,Centre,-123.60174092170936,31.4361171348602,oː->ɑː,oː,ɑː
torhamn,135.0,521.0,27.997895933433075,South,-58.85951174084963,18.188583761506997,oː->ɑː,oː,ɑː
torp,145.0,265.0,281.9425332445665,North,-116.46241247564916,35.4475814002341,oː->ɑː,oː,ɑː
torsas,144.0,504.0,46.285579526498864,South,-119.69089935207683,17.839932612012383,oː->ɑː,oː,ɑː
torso,95.0,414.0,126.59083766943033,Centre,-103.40262070656658,25.782165985166493,oː->ɑː,oː,ɑː
v_vingaker,139.0,402.0,145.93168962913032,Centre,-117.27828654040687,28.78862647914368,oː->ɑː,oː,ɑː
vackelsang,116.0,500.0,45.44304483319151,South,-141.31792942087804,20.9471879832398,oː->ɑː,oː,ɑː
vaxtorp,78.0,504.0,35.00965688106874,South,-85.98911114285485,14.525241168480312,oː->ɑː,oː,ɑː
vemdalen,102.0,266.0,273.610801277416,North,-114.27150137561748,22.5221405497723,oː->ɑː,oː,ɑː
viby,116.0,402.0,142.0022014345107,Centre,-118.93229943042395,32.348791808302025,oː->ɑː,oː,ɑː
vilhelmina,152.0,178.0,368.85934835581264,North,-128.0534271494623,29.43569871265235,oː->ɑː,oː,ɑː
villberga,166.0,379.0,173.2064099508079,North,-129.04848362274092,28.82665728201513,oː->ɑː,oː,ɑː
vindeln,212.0,194.0,363.3454268629456,North,-137.59241404795978,30.542232486372324,oː->ɑː,oː,ɑː
