pair,vowel,pair_member,response,n_villages,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p
uː->oː,uː,first,first_x,78,0.49989836645061725,24.65664086104398,3.6401969183842944e-11,28.60704517690256,6.255990654402341e-10
uː->oː,uː,first,first_y,78,0.250489807945514,8.243715244288728,8.380729711494416e-05,4.865461098270537,0.01034656700431369
uː->oː,oː,second,second_x,78,0.4681867416623515,21.715529113427614,3.4321820371930055e-10,32.47915711717053,7.496279425474495e-11
uː->oː,oː,second,second_y,78,0.47301031708711594,22.140068771348126,2.4618748502305923e-10,29.736482569116035,3.3267580303605915e-10
