pair,vowel,pair_member,response,n_villages,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p
æː->eː,æː,first,first_x,74,0.09440942283623133,2.4325413585294213,0.07219671768456114,3.119093586670718,0.050395501230576095
æː->eː,æː,first,first_y,74,0.12843163410507974,3.43832824409764,0.021395566533710234,4.989477250509188,0.009424994541955636
æː->eː,eː,second,second_x,74,0.21082180502254289,6.233288605581045,0.0008189172959073369,8.789968788532029,0.000392888488763919
æː->eː,eː,second,second_y,74,0.22460562657413086,6.7588805555053835,0.0004545877933998035,9.76492395854346,0.0001817844638946015
