village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
strom,132.0,211.0,211.0,,-137.8979271057814,32.01896932744941,oː->ɑː,oː,ɑː
tjallmo,128.0,416.0,416.0,,-123.60174092170939,31.4361171348602,oː->ɑː,oː,ɑː
torhamn,135.0,521.0,521.0,,-58.85951174084963,18.188583761506997,oː->ɑː,oː,ɑː
torp,145.0,265.0,265.0,,-119.85072438418864,31.0065519361982,oː->ɑː,oː,ɑː
torsas,144.0,504.0,504.0,,-119.69089935207683,17.839932612012383,oː->ɑː,oː,ɑː
torso,95.0,414.0,414.0,,-103.40262070656655,25.782165985166493,oː->ɑː,oː,ɑː
v_vingaker,139.0,402.0,402.0,,-117.27828654040687,28.78862647914368,oː->ɑː,oː,ɑː
vackelsang,116.0,500.0,500.0,,-141.31792942087804,20.9471879832398,oː->ɑː,oː,ɑː
vaxtorp,78.0,504.0,504.0,,-85.98911114285485,14.525241168480312,oː->ɑː,oː,ɑː
vemdalen,102.0,266.0,266.0,,-114.2715013756175,22.5221405497723,oː->ɑː,oː,ɑː
viby,116.0,402.0,402.0,,-118.93229943042394,32.348791808302025,oː->ɑː,oː,ɑː
vilhelmina,152.0,178.0,178.0,,-118.90318147838775,26.00377332617877,oː->ɑː,oː,ɑː
villberga,166.0,379.0,379.0,,-129.04848362274092,28.82665728201513,oː->ɑː,oː,ɑː
