region_marker,geographic_position,first_x,first_y,second_x,second_y,pair_length,directed_angle_from_horizontal_deg,pair,first_vowel,second_vowel
North,216.0782122905028,-10.158555261914278,24.277828977037657,-1.2279482926779615,17.50965921005681,11.205528226444564,-37.15711399642905,yː->ʉ̟ː,yː,ʉ̟ː
Centre,397.1787709497207,-3.4598814777655313,22.0800262943673,1.3791132113144968,15.045573215243856,8.538114529762062,-55.475948224063586,yː->ʉ̟ː,yː,ʉ̟ː
South,507.72067039106145,-11.296202748372767,15.868116567081207,-1.89855493911125,10.365366345473008,10.890181098050064,-30.35091368801153,yː->ʉ̟ː,yː,ʉ̟ː
