pair,vowel,pair_member,response,n_villages,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p
oː->ɑː,oː,first,first_x,74,0.504719707698982,23.77803712909557,1.014412627709717e-10,35.23893690214491,2.5831760922637463e-11
oː->ɑː,oː,first,first_y,74,0.48134741366830147,21.65503450334175,4.981596515253187e-10,27.21743125925132,1.800772583278845e-09
oː->ɑː,ɑː,second,second_x,74,0.15801860321281014,4.379076254774008,0.006969999631047687,6.383213245809747,0.002841412195164101
oː->ɑː,ɑː,second,second_y,74,0.04022083568114765,0.9778146898609502,0.40826209331501817,1.4117463574122908,0.25056981046284493
