village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
ankarsrum,149.0,456.0,456.0,,-16.893441077711778,11.287031744956664,-22.118075018711103,-19.136580411795627
anundsjo,182.0,230.0,230.0,,-12.295127371867402,17.82208417978942,-25.510244945021338,9.088005069385797
are,89.0,227.0,227.0,,4.679689482765047,27.751054519791296,-10.986433476012163,-11.325778076654995
arjeplog,171.0,122.0,122.0,,9.212595454156865,21.692386546158644,-13.91960518486879,6.313038718231336
arstad,70.0,485.0,485.0,,-2.8092021623296537,0.5938683067374321,8.739276910008554,-8.800995116322047
arsunda,156.0,343.0,343.0,,9.948831219936745,21.653532084080908,-14.48478810806196,-11.684043477153839
asby,125.0,446.0,446.0,,-14.725142267877004,2.443460868986887,-10.801902484988986,-13.34786283500722
aspas,112.0,229.0,229.0,,2.109805152278547,22.021186358395163,-13.13803533959128,-2.645380523487264
bara,79.0,539.0,539.0,,-0.0309647136704726,5.4001209755136,-6.5442254586385324,-11.216513885937578
bengtsf,62.0,401.0,401.0,,5.15888161933699,14.989953915363026,-9.460758169615255,3.336354614340817
berg,112.0,252.0,252.0,,-15.489400405052184,10.807531680648893,-15.568941239467904,-8.399424761429616
bjurholm,197.0,211.0,211.0,,3.6416216710339997,23.37216703005833,-11.667849661019904,0.6292489784826294
boda,163.0,475.0,475.0,,-8.374053169497872,5.290426345729,-23.144360200842087,-5.041277715988592
bredsattra,158.0,489.0,489.0,,-4.99514385211817,16.096009755194558,-25.79782787919857,-0.15951276953550475
broby,99.0,510.0,510.0,,-6.776596236055129,14.145406516758147,1.3138333223218202,4.009896695978363
burseryd,84.0,478.0,478.0,,1.6852784179195344,18.15780994600709,-0.23094009128092674,5.013387285492521
burtrask,222.0,177.0,177.0,,1.9967313619561704,10.94553864510688,-18.757446971041222,-6.627311488306269
dalby,82.0,336.0,336.0,,-2.7837890647600063,13.086397789158333,-15.83948666455167,-0.9937846781060209
floby,85.0,439.0,439.0,,-0.4135134719188587,21.36825556486572,-12.519171119935182,16.48512450963028
frandef,63.0,423.0,423.0,,-13.056577039058324,15.09171972130465,-23.23324110036217,3.405552052089522
frillesas,58.0,470.0,470.0,,-13.353997581177424,3.938315350660551,-0.20851377673823457,-14.723589388379828
grangarde,119.0,354.0,354.0,,-1.6807373698089672,9.034005767880672,-31.231449006750886,-7.968976783605069
graso,189.0,350.0,350.0,,12.65152171523756,18.086534304660624,-4.555156467297565,-13.542019332487868
hammaro,90.0,391.0,391.0,,-13.135954757851373,8.250611841896841,0.6799516319817578,-18.51718367542328
hamneda,93.0,496.0,496.0,,-10.608690937498132,16.276534591544408,-21.533782202805284,-1.1452773794961049
haraker,149.0,373.0,373.0,,15.143722974544,7.524717803274685,-4.116764515763898,-8.522994924437375
jamshog,108.0,514.0,514.0,,2.0381950052356856,10.043665525413752,8.459873780883811,-2.38288073742428
jarnboas,117.0,378.0,378.0,,12.721371110251908,5.996003968119133,-9.026156546826202,-6.712055021516427
jarsnas,113.0,452.0,452.0,,-2.164365352607588,6.525492959459266,-4.437658789951955,-7.6520673825746135
karna,53.0,448.0,448.0,,-17.625559260636763,14.580095385987281,-16.07939329904898,-11.613286595330068
karsta,186.0,377.0,377.0,,0.4241234817999233,17.970288541314936,-3.1615825848141146,4.484233239061657
korsberga,100.0,432.0,432.0,,-3.6831432297953204,14.019409702972103,-19.122776545987833,1.8530831551465798
kramfors,173.0,248.0,248.0,,-7.676210667634199,16.31915464946829,-19.989086434820216,-0.2567942982521034
lanna,161.0,393.0,393.0,,-3.0693600077001078,7.0736270931603595,-5.990409929453551,-22.35707528555512
leksand,120.0,335.0,335.0,,-16.161602748567155,14.713710435208132,-37.21203085226487,-7.1841629877282385
loderup,98.0,543.0,543.0,,-1.4769886786575235,-8.513909082997808,-21.827545573599338,-25.000044188440025
malung,96.0,337.0,337.0,,27.658592088204625,20.070120074063187,-10.609333358979375,10.058543553361694
n_rorum,84.0,522.0,522.0,,7.541254113483857,9.559426898545874,-6.276727764655138,-5.744613495868377
nora,160.0,357.0,357.0,,13.689946053129992,21.595827071532167,-7.505712206253547,-7.567196209609763
