region_marker,geographic_position,first_x,first_y,second_x,second_y,pair_length,directed_angle_from_horizontal_deg,pair,first_vowel,second_vowel
North,216.0782122905028,28.396148625036428,-2.248215295815278,14.145000625996222,-22.962435913637044,25.14307370021295,-124.52752899618035,oː->ɑː,oː,ɑː
Centre,397.1787709497207,43.52972072895224,1.9775600520510057,23.71795924076151,-22.09475502450025,31.1766298116027,-129.45472973220328,oː->ɑː,oː,ɑː
South,507.72067039106145,20.27634736767316,-9.935204772594494,13.418557184206847,-23.006843600146773,14.761335570957637,-117.68290745781472,oː->ɑː,oː,ɑː
