pair,village,geo_x,geo_y,n_observations,first_endpoint,second_endpoint,midpoint,separation_change
oː->ɑː,ankarsrum,149.0,456.0,3,-5.017469187468474,1.9071302751501724,-1.55516945615915,5.017203438067792
oː->ɑː,anundsjo,182.0,230.0,3,2.8926311339261854,-4.93566549002324,-1.26136726283144,-7.725233607666507
oː->ɑː,are,89.0,227.0,3,1.0428257852552862,-4.36014291721874,-1.6586585659817266,-1.1051211916312234
oː->ɑː,arjeplog,171.0,122.0,3,12.324253676804558,5.987547474340431,9.474094196064932,-7.781342518962099
oː->ɑː,arstad,70.0,485.0,3,-10.992502374354434,-19.916114891699078,-15.454308633026754,-10.156482122203876
oː->ɑː,arsunda,156.0,343.0,3,1.4934679356607097,-1.9292377703615664,1.0799929725031236,-11.812061070258373
oː->ɑː,asby,125.0,446.0,3,-1.4112300309416224,-2.161151412916847,-7.785570911104664,-8.954914115468519
oː->ɑː,aspas,112.0,229.0,2,-7.855640096120591,-10.134205774904267,-8.994922935512431,-2.278565678783673
oː->ɑː,bara,79.0,539.0,3,28.08129612546319,-8.3609657113161,9.046692503476073,-34.11188238809457
oː->ɑː,bengtsf,62.0,401.0,3,-11.353986719990864,-14.534598464959558,-12.944292592475211,-7.08675822318995
oː->ɑː,berg,112.0,252.0,3,9.53474495821958,1.4784639450784511,5.506604451649015,-5.307742809895043
oː->ɑː,bjurholm,197.0,211.0,3,9.874551922364056,2.6657250186386445,6.9935830852315295,-5.761937674265052
oː->ɑː,boda,163.0,475.0,1,3.2688128202278612,11.135763165379572,7.202287992803718,7.866950345151718
oː->ɑː,borga,337.0,331.0,1,-1.2939914367166525,14.731112202940508,6.718560383111927,16.025103639657164
oː->ɑː,brando,237.0,337.0,3,0.7612417689500394,2.4709908795700404,0.56219552439084,3.817590710358406
oː->ɑː,bredsattra,158.0,489.0,3,4.743253892747318,16.89101973528815,8.298004859559185,-1.076436593330751
oː->ɑː,broby,99.0,510.0,2,6.652610985711037,6.108046068614545,6.380328527162792,-0.5445649170964906
oː->ɑː,burseryd,84.0,478.0,2,0.24611179478967316,-9.202040534929731,-4.477964370070028,-9.448152329719399
oː->ɑː,burtrask,222.0,177.0,3,-2.296110456461113,23.48400828374846,11.491886045765021,23.98424447596688
oː->ɑː,dalby,82.0,336.0,2,0.7971141853138084,1.9572309427139645,1.377172564013886,1.160116757400159
oː->ɑː,dragsfjard,272.0,350.0,3,5.792071042095268,12.583070132323554,4.376431136026411,8.164744424900878
oː->ɑː,faro,208.0,445.0,3,-3.29468393976477,2.2844037569491564,-1.1604123125223156,4.268543254484907
oː->ɑː,floby,85.0,439.0,3,-14.21875511665236,-12.621567749831712,-15.827418348975385,8.275855015903804
oː->ɑː,frandef,63.0,423.0,3,-9.526635323244115,5.217148669069258,-3.0955696124909666,-5.148350144032648
oː->ɑː,frillesas,58.0,470.0,2,2.3257827122035097,-9.114817572998387,-3.394517430397439,-11.440600285201896
oː->ɑː,grangarde,119.0,354.0,1,13.434528483072938,8.712595731721136,11.073562107397038,-4.721932751351801
oː->ɑː,graso,189.0,350.0,3,-16.363346602672014,-10.164342566673687,-14.795381573962267,4.658765771957722
oː->ɑː,hammaro,90.0,391.0,3,2.5220776804207428,8.361794119954249,6.800095160477574,-0.6523110109466792
oː->ɑː,hamneda,93.0,496.0,3,25.902846740603056,9.936507686618821,18.239520866496964,-12.894281431857138
oː->ɑː,haraker,149.0,373.0,3,1.9137512486402029,-11.317818584559301,-4.702033667959548,-2.360411625160989
oː->ɑː,houtskar,245.0,347.0,1,16.52265389518124,11.73122696024504,14.126940427713139,-4.791426934936197
oː->ɑː,jamshog,108.0,514.0,3,33.652881118858666,24.365395613922118,29.64526465449141,0.6449063606448604
oː->ɑː,jarnboas,117.0,378.0,3,-17.342194284919778,-6.237231116458441,-11.417373380569119,10.36028452822136
oː->ɑː,jarsnas,113.0,452.0,3,-4.175759853638193,-3.4795966312363507,-3.8276782424372717,0.696163222401843
oː->ɑː,karna,53.0,448.0,3,14.895947084266787,6.659868075073597,10.777907579670194,-8.236079009193187
oː->ɑː,karsta,186.0,377.0,3,-18.192776153119574,-12.977744987248624,-16.995573365369296,10.238024693073118
oː->ɑː,korsberga,100.0,432.0,3,-0.9045192764065558,-1.033027321874757,0.01533756308096321,3.049603945516754
oː->ɑː,kramfors,173.0,248.0,3,7.4595923015042045,2.3613654134064737,4.910478857455339,-5.098226888097727
oː->ɑː,kyrkslatt,310.0,347.0,3,7.219159853354789,12.890044708346668,10.05460228085073,8.791581511400477
oː->ɑː,lanna,161.0,393.0,2,-3.2675427911434305,4.685341263963581,0.7088992364100739,7.952884055107017
oː->ɑː,leksand,120.0,335.0,2,14.989952218539301,8.531892738958874,11.76092247874909,-6.458059479580427
oː->ɑː,loderup,98.0,543.0,3,46.911404877020864,11.308391925603921,35.44413445599929,-34.70181663447869
oː->ɑː,malung,96.0,337.0,3,-1.932155792433637,10.850563215702548,4.5882402979060615,4.461678295806649
oː->ɑː,n_rorum,84.0,522.0,2,27.15911483885254,4.707494236302305,15.933304537577424,-22.451620602550232
oː->ɑː,narpes,237.0,258.0,3,-4.125197232498049,4.860211902377725,0.8014268844924275,19.1337224691212
oː->ɑː,nora,160.0,357.0,3,-15.937784484348454,-0.0090398310413762,-8.083160002391855,9.123232329574453
oː->ɑː,nysatra,228.0,188.0,3,7.036808331184391,14.48954063759526,11.048341003769107,6.882399267652307
oː->ɑː,ockelbo,156.0,328.0,3,-2.144215541988152,2.310505647279348,0.08314505264559918,7.708655997764655
oː->ɑː,orust,49.0,436.0,3,-8.794461236962,-12.526553996868737,-16.581291567861065,-9.387453795858363
oː->ɑː,ossjo,74.0,515.0,3,0.6949323460547674,-15.91841922562546,-7.611743439785348,-20.565485320262354
oː->ɑː,ostad,63.0,445.0,2,6.474550833130056,6.304056448139802,6.38930364063493,-0.1704943849902545
oː->ɑː,ovanaker,140.0,310.0,3,-1.2645058396098285,-11.37845821161079,-6.321482025610308,-10.113952372000956
