method,grouping,village,speaker,pair,first_vowel,second_vowel,geo_x,geo_y,anchor_pair_length,first_endpoint,second_endpoint,midpoint,observed_separation,separation_change
pca,speaker,ankarsrum,ym_1,uː->oː,uː,oː,149.0,456.0,7.573081840041759,3.3700005055443705,-9.3303254791811,-2.9801624868183643,-5.127244144683711,-12.70032598472547
pca,speaker,ankarsrum,ym_1,oː->ɑː,oː,ɑː,149.0,456.0,27.262853415824775,-5.028915474740253,-0.011712036672468305,-2.5203137557063604,32.28005685389257,5.017203438067792
pca,speaker,ankarsrum,ym_1,ɑː->æː,ɑː,æː,149.0,456.0,47.12769533944659,9.477062702978538,20.5020652885959,14.989563995787222,58.152697925063954,11.025002585617365
pca,speaker,ankarsrum,ym_1,æː->eː,æː,eː,149.0,456.0,24.183879714413216,-5.98714235732977,-3.0451392216515907,-4.516140789490682,27.125882850091394,2.9420031356781777
pca,speaker,ankarsrum,ym_1,yː->ʉ̟ː,yː,ʉ̟ː,149.0,456.0,10.203868683987409,-22.359766322898523,-18.157815366715212,-20.258790844806867,14.405819640170721,4.201950956183312
pca,speaker,ankarsrum,ym_1,ʉ̟ː->øː,ʉ̟ː,øː,149.0,456.0,23.65566518158654,1.699282939282507,7.297526089802441,4.498404514542475,29.253908332106477,5.598243150519938
pca,speaker,ankarsrum,ym_2,uː->oː,uː,oː,149.0,456.0,7.573081840041759,14.535757781986288,-0.6975795198203232,6.919089131082982,-7.6602554617648515,-15.23333730180661
pca,speaker,ankarsrum,ym_2,oː->ɑː,oː,ɑː,149.0,456.0,27.262853415824775,-5.017469187468474,1.9071302751501724,-1.55516945615915,34.18745287844342,6.924599462618648
pca,speaker,ankarsrum,ym_2,ɑː->æː,ɑː,æː,149.0,456.0,47.12769533944659,-5.538641617213372,5.598017512471314,0.02968794762897079,58.26435446913128,11.136659129684688
pca,speaker,ankarsrum,ym_2,æː->eː,æː,eː,149.0,456.0,24.183879714413216,-4.563824925068149,-2.516139723217401,-3.5399823241427755,26.231564916263963,2.047685201850747
pca,speaker,ankarsrum,ym_2,yː->ʉ̟ː,yː,ʉ̟ː,149.0,456.0,10.203868683987409,-8.488074711214542,-4.932404640173403,-6.710239675693971,13.759538755028546,3.5556700710411366
pca,speaker,ankarsrum,ym_2,ʉ̟ː->øː,ʉ̟ː,øː,149.0,456.0,23.65566518158654,8.159966008322481,14.989382880247573,11.574674444285028,30.485082053511633,6.829416871925094
pca,speaker,ankarsrum,ym_3,uː->oː,uː,oː,149.0,456.0,7.573081840041759,11.5599449049681,6.247376865801182,8.90366088538464,2.26051380087484,-5.312568039166919
pca,speaker,ankarsrum,ym_3,oː->ɑː,oː,ɑː,149.0,456.0,27.262853415824775,10.361635790274985,14.480858014122562,12.421246902198773,31.382075639672355,4.119222223847579
pca,speaker,ankarsrum,ym_3,ɑː->æː,ɑː,æː,149.0,456.0,47.12769533944659,15.292740664891376,10.033890486253927,12.663315575572652,41.86884516080914,-5.258850178637452
pca,speaker,ankarsrum,ym_3,æː->eː,æː,eː,149.0,456.0,24.183879714413216,-13.819264207465165,-13.574872618476766,-13.697068412970966,24.428271303401612,0.24439158898839608
pca,speaker,ankarsrum,ym_3,yː->ʉ̟ː,yː,ʉ̟ː,149.0,456.0,10.203868683987409,-9.795212197211429,-13.600167401059695,-11.697689799135562,6.398913480139145,-3.804955203848264
pca,speaker,ankarsrum,ym_3,ʉ̟ː->øː,ʉ̟ː,øː,149.0,456.0,23.65566518158654,25.521075033683623,20.495616803271453,23.008345918477538,18.630206951174372,-5.025458230412166
pca,speaker,anundsjo,ym_1,uː->oː,uː,oː,182.0,230.0,7.573081840041759,-5.994451036505331,-12.045669016585306,-9.020060026545318,1.521863859961783,-6.051217980079976
pca,speaker,anundsjo,ym_1,oː->ɑː,oː,ɑː,182.0,230.0,27.262853415824775,2.4129309643603625,-4.93566549002324,-1.26136726283144,19.914256961441176,-7.3485964543836
pca,speaker,anundsjo,ym_1,ɑː->æː,ɑː,æː,182.0,230.0,47.12769533944659,1.9207075498245858,14.290331047494726,8.105519298659656,59.49731883711673,12.36962349767014
pca,speaker,anundsjo,ym_1,æː->eː,æː,eː,182.0,230.0,24.183879714413216,-1.8294763043171067,-15.011487198923481,-8.420481751620295,11.001868819806841,-13.182010894606375
pca,speaker,anundsjo,ym_1,yː->ʉ̟ː,yː,ʉ̟ː,182.0,230.0,10.203868683987409,-7.726833795651114,-10.43550095609307,-9.081167375872095,7.495201523545453,-2.708667160441956
pca,speaker,anundsjo,ym_1,ʉ̟ː->øː,ʉ̟ː,øː,182.0,230.0,23.65566518158654,4.699769124594433,-1.861876128559844,1.4189464980172952,17.094019928432264,-6.561645253154275
pca,speaker,anundsjo,ym_2,uː->oː,uː,oː,182.0,230.0,7.573081840041759,-6.482729087258157,2.6177216769631753,-1.9325037051474907,16.67353260426309,9.100450764221332
pca,speaker,anundsjo,ym_2,oː->ɑː,oː,ɑː,182.0,230.0,27.262853415824775,6.264205040367607,-1.461028567298902,2.401588236534352,19.53761980815827,-7.725233607666507
pca,speaker,anundsjo,ym_2,ɑː->æː,ɑː,æː,182.0,230.0,47.12769533944659,-1.1357827351073329,-3.491888132840488,-2.3138354339739107,44.77158994171344,-2.3561053977331525
pca,speaker,anundsjo,ym_2,æː->eː,æː,eː,182.0,230.0,24.183879714413216,1.7069742922516746,-0.5595127831660708,0.573730754542802,21.91739263899547,-2.2664870754177464
pca,speaker,anundsjo,ym_2,yː->ʉ̟ː,yː,ʉ̟ː,182.0,230.0,10.203868683987409,-2.1320782020148825,-8.568013385440295,-5.350045793727588,3.7679335005619956,-6.435935183425413
pca,speaker,anundsjo,ym_2,ʉ̟ː->øː,ʉ̟ː,øː,182.0,230.0,23.65566518158654,2.0373580812279015,0.7305370278209243,1.3839475545244126,22.34884412817956,-1.3068210534069777
pca,speaker,anundsjo,ym_3,uː->oː,uː,oː,182.0,230.0,7.573081840041759,-14.598649527486034,-7.215674677343468,-10.90716210241475,14.956056690184324,7.382974850142565
