method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
pca,village,bara,,æː->eː,æː,eː,-24.072915878831235,-7.977535611056003,79.0,539.0
pca,village,bara,,yː->ʉ̟ː,yː,ʉ̟ː,-10.197790628214298,9.399753760214596,79.0,539.0
pca,village,bara,,ʉ̟ː->øː,ʉ̟ː,øː,-3.2875950861545027,-2.908196455211989,79.0,539.0
pca,village,bengtsf,,uː->oː,uː,oː,43.86512716734225,5.820382393773959,62.0,401.0
pca,village,bengtsf,,oː->ɑː,oː,ɑː,37.95486591624955,-9.228727543264812,62.0,401.0
pca,village,bengtsf,,ɑː->æː,ɑː,æː,-0.17017696531409143,-9.764322622185738,62.0,401.0
pca,village,bengtsf,,æː->eː,æː,eː,-21.530250714226845,11.93302838741889,62.0,401.0
pca,village,bengtsf,,yː->ʉ̟ː,yː,ʉ̟ː,-4.377510087922201,18.180703450287744,62.0,401.0
pca,village,bengtsf,,ʉ̟ː->øː,ʉ̟ː,øː,-2.150938275139133,9.163154264851922,62.0,401.0
pca,village,berg,,uː->oː,uː,oː,32.295248154372615,4.293776892080141,112.0,252.0
pca,village,berg,,oː->ɑː,oː,ɑː,23.338573788492784,-15.094915096924503,112.0,252.0
pca,village,berg,,ɑː->æː,ɑː,æː,-11.350732951804737,-20.785365165341936,112.0,252.0
pca,village,berg,,æː->eː,æː,eː,-31.48011509500935,-7.997531353429495,112.0,252.0
pca,village,berg,,yː->ʉ̟ː,yː,ʉ̟ː,-12.304599567579249,19.267381011487593,112.0,252.0
pca,village,berg,,ʉ̟ː->øː,ʉ̟ː,øː,-15.529170822260044,1.2040534596096384,112.0,252.0
pca,village,bjurholm,,uː->oː,uː,oː,24.10956960047676,-2.1950367493353906,197.0,211.0
pca,village,bjurholm,,oː->ɑː,oː,ɑː,21.243388966808965,-16.155987364805025,197.0,211.0
pca,village,bjurholm,,ɑː->æː,ɑː,æː,-5.275203020600438,-18.79888823168931,197.0,211.0
