method,grouping,fit_basis,n_reliable,n_villages,pearson_r,pearson_p,spearman_rho,spearman_p,village_permutation_pearson_p,village_permutation_spearman_p
pca,village,vowels,81,81,-0.48634158279410566,4.161539646278341e-06,-0.5528716953766053,8.70184173000372e-08,9.999000099990002e-05,9.999000099990002e-05
pca,village,midpoints,79,79,-0.4197054324738561,0.00011794341531446414,-0.44910777440416577,3.302103634717488e-05,0.00029997000299970003,9.999000099990002e-05
