method,grouping,village,speaker,fit_basis,n_points,n_vowels,missing_vowels,geo_x,geo_y,centroid_x,centroid_y,ellipse_angle_deg,ellipse_angle_from_horizontal_signed_deg,major_axis_sd,minor_axis_sd,axis_ratio,orientation_reliable
pca,village,ankarsrum,,vowels,8,8,,149.0,456.0,-8.458045607158269,-3.371811154562264,167.8623953728205,-12.137604627179513,28.941615108550273,14.795303683884137,1.9561352525717388,1
pca,village,ankarsrum,,midpoints,6,8,,149.0,456.0,-6.922115662345845,-4.651282621624391,169.0998084549235,-10.900191545076495,27.0996237014308,10.43553129341481,2.596860949334858,1
pca,village,anundsjo,,vowels,8,8,,182.0,230.0,-7.9449149319543455,6.863983925072542,169.80097734639034,-10.19902265360966,26.90617543099523,11.906110897872379,2.2598626589143698,1
pca,village,anundsjo,,midpoints,6,8,,182.0,230.0,-6.164249075687711,4.607702242242646,168.81539048051232,-11.18460951948768,24.24565447250376,10.984449206198542,2.207270844205998,1
pca,village,are,,vowels,8,8,,89.0,227.0,3.093480375403485,6.207602756635138,12.76732523688895,12.76732523688895,26.227840971918766,17.60273465916988,1.489986725344165,1
pca,village,are,,midpoints,6,8,,89.0,227.0,3.9492163700192164,4.74456777471454,6.633714076021221,6.633714076021221,23.556965258838062,14.784768035447906,1.5933266725834296,1
pca,village,arjeplog,,vowels,8,8,,171.0,122.0,0.7486357348837984,4.185172747561733,5.074269044316168,5.074269044316168,22.383016733056138,16.26555809219042,1.3760989082694244,1
pca,village,arjeplog,,midpoints,6,8,,171.0,122.0,1.6488389678770057,1.1460340153372994,2.305607406720412,2.305607406720412,19.08048336539478,15.406721386358488,1.2384518994605263,1
pca,village,arstad,,vowels,8,8,,70.0,485.0,7.035733564368266,-1.2892430277116005,170.8968076451734,-9.103192354826604,23.617904173431867,9.975575619591053,2.367573067868747,1
pca,village,arstad,,midpoints,6,8,,70.0,485.0,8.943004517816581,-2.676201667337159,173.97971019184087,-6.020289808159134,21.239069417722312,6.811962640120351,3.1179075018161093,1
pca,village,arsunda,,vowels,8,8,,156.0,343.0,4.650547650400691,-1.25514069648134,178.33059102319095,-1.669408976809052,22.68176673136438,16.087322588165776,1.409915578372851,1
pca,village,arsunda,,midpoints,6,8,,156.0,343.0,6.206050734707067,-2.965454176153552,164.91008013133646,-15.089919868663543,19.75975153516666,13.772686748436188,1.4347056530135829,1
pca,village,asby,,vowels,8,8,,125.0,446.0,-0.4276268161228245,-5.446417014303075,165.03331007772798,-14.966689922272025,27.012379681581386,10.779154590711398,2.5059831412807148,1
pca,village,asby,,midpoints,6,8,,125.0,446.0,1.6053883770117376,-7.011220563561499,167.37496316121693,-12.625036838783075,25.750642263237395,7.615920158927604,3.3811596925752614,1
