method,grouping,fit_basis,n_reliable,n_villages,pearson_r,pearson_p,spearman_rho,spearman_p,village_permutation_pearson_p,village_permutation_spearman_p
fasttrack,village,vowels,83,83,-0.17792697927447343,0.1075556318113162,-0.2025347017386702,0.06631678732157091,0.10778922107789221,0.06459354064593541
fasttrack,village,midpoints,83,83,-0.05167882302264424,0.6426574260253596,-0.06057043912182544,0.5864731004214865,0.6421357864213578,0.581941805819418
