village,speaker,vowel,n_speakers,n_tokens,geo_x,geo_y,display_x,display_y
asby,,æː,3,29,125.0,446.0,-12.3637133151,-5.999154594065001
asby,,øː,3,48,125.0,446.0,-11.0752533566,-5.65692307692
asby,,ɑː,3,16,125.0,446.0,-7.98348189415,-5.27776179057
asby,,ʉ̟ː,3,16,125.0,446.0,-11.7117715553,-4.68213727908
aspas,,eː,2,11,112.0,229.0,-12.288119973925,-4.677759553947499
aspas,,oː,2,10,112.0,229.0,-6.973962962965,-4.245755028675
aspas,,uː,2,10,112.0,229.0,-6.6689451772999995,-3.443142144825
aspas,,yː,2,10,112.0,229.0,-12.99996966545,-3.23103347441
aspas,,æː,2,20,112.0,229.0,-11.227011795774999,-6.346625170339999
aspas,,øː,2,35,112.0,229.0,-11.10915301355,-4.8491378403
aspas,,ɑː,2,10,112.0,229.0,-7.58157404289,-5.02994361672
aspas,,ʉ̟ː,2,10,112.0,229.0,-11.60954152065,-3.5319123224249998
bara,,eː,3,13,79.0,539.0,-12.1731423029,-5.0657892612
bara,,oː,3,14,79.0,539.0,-9.190387336715,-5.060778731945
bara,,uː,3,15,79.0,539.0,-9.870653605775,-4.2055947881
bara,,yː,3,14,79.0,539.0,-11.8120484581,-4.2981080756650005
bara,,æː,3,27,79.0,539.0,-10.8248235294,-5.81753894081
bara,,øː,3,40,79.0,539.0,-10.0716101172,-5.197712291045001
bara,,ɑː,3,12,79.0,539.0,-8.523496055915,-5.1934288173
bara,,ʉ̟ː,3,13,79.0,539.0,-10.2886427267,-4.23358891899
bengtsf,,eː,3,13,62.0,401.0,-13.61640032135,-4.04233601354
bengtsf,,oː,3,14,62.0,401.0,-6.95392423685,-4.55713931377
bengtsf,,uː,3,13,62.0,401.0,-6.51783377209,-3.94757015431
bengtsf,,yː,3,12,62.0,401.0,-11.96560024465,-3.895504841805
bengtsf,,æː,3,26,62.0,401.0,-12.3637133151,-5.54298342541
bengtsf,,øː,3,40,62.0,401.0,-11.408724619800001,-4.888751403624999
bengtsf,,ɑː,3,14,62.0,401.0,-7.56646723647,-5.46903992963
bengtsf,,ʉ̟ː,3,13,62.0,401.0,-10.8972131148,-4.11736819907
berg,,eː,3,15,112.0,252.0,-12.447062755000001,-5.31542690604
berg,,oː,3,15,112.0,252.0,-7.36437724982,-4.68213727908
berg,,uː,3,15,112.0,252.0,-7.31659328762,-3.49266261925
berg,,yː,3,14,112.0,252.0,-13.0737672782,-3.82376068376
berg,,æː,3,29,112.0,252.0,-11.9227322404,-6.394430678565
berg,,øː,3,42,112.0,252.0,-10.91294982095,-5.26516212715
berg,,ɑː,3,14,112.0,252.0,-8.12257083621,-5.737544957
berg,,ʉ̟ː,3,14,112.0,252.0,-11.3897761405,-3.957311179745
bjurholm,,eː,3,15,197.0,211.0,-12.5384728033,-4.48506014102
bjurholm,,oː,3,14,197.0,211.0,-7.14682189181,-4.60194719472
bjurholm,,uː,3,14,197.0,211.0,-7.26168657257,-4.07038971618
bjurholm,,yː,3,15,197.0,211.0,-13.1431,-3.79493367565
bjurholm,,æː,3,33,197.0,211.0,-11.65092520765,-6.1197488014850006
bjurholm,,øː,3,44,197.0,211.0,-11.355944334,-4.78374219741
bjurholm,,ɑː,3,16,197.0,211.0,-8.47932249322,-5.676908982624999
bjurholm,,ʉ̟ː,3,14,197.0,211.0,-11.6874979172,-3.73705705706
boda,,eː,1,5,163.0,475.0,-12.919308416,-4.44884088076
boda,,oː,1,5,163.0,475.0,-6.9468138337,-4.43976724855
boda,,uː,1,4,163.0,475.0,-7.455028471035,-4.26171545532
boda,,yː,1,5,163.0,475.0,-12.1124076571,-3.9667940552
boda,,æː,1,9,163.0,475.0,-11.1496803916,-6.36806366048
boda,,øː,1,18,163.0,475.0,-11.3219535919,-5.214473123935
boda,,ɑː,1,5,163.0,475.0,-8.05961165049,-6.05382602002
boda,,ʉ̟ː,1,4,163.0,475.0,-11.21258007095,-4.592376114845
borga,,eː,1,4,337.0,331.0,-12.7035245577,-4.897455879864999
borga,,oː,1,5,337.0,331.0,-7.26856729378,-4.98842787682
borga,,uː,1,5,337.0,331.0,-7.07400584795,-3.91931914894
borga,,yː,1,4,337.0,331.0,-13.41480615355,-3.34346573549
borga,,æː,1,10,337.0,331.0,-12.24090183635,-5.5388835917999995
borga,,øː,1,14,337.0,331.0,-11.18660545525,-4.862588285719999
borga,,ɑː,1,4,337.0,331.0,-9.418780396395,-6.25041464531
borga,,ʉ̟ː,1,4,337.0,331.0,-8.565714224025,-3.262982020175
brando,,eː,3,23,237.0,337.0,-12.2185603425,-5.38632206759
brando,,oː,3,10,237.0,337.0,-7.28260913617,-4.882180255665
brando,,uː,3,11,237.0,337.0,-6.73104166667,-3.56162559447
brando,,yː,3,10,237.0,337.0,-12.6807246377,-4.19189575452
brando,,æː,3,10,237.0,337.0,-11.4108432371,-6.20067252579
brando,,øː,3,33,237.0,337.0,-10.5235287843,-5.749094216905
brando,,ɑː,3,10,237.0,337.0,-8.48535049103,-5.88900271634
brando,,ʉ̟ː,3,12,237.0,337.0,-9.76079220371,-3.83335326783
bredsattra,,eː,3,15,158.0,489.0,-13.1233650476,-4.832
bredsattra,,oː,3,15,158.0,489.0,-7.13,-4.42159733777
bredsattra,,uː,3,15,158.0,489.0,-7.6130017762,-3.94782830429
bredsattra,,yː,3,13,158.0,489.0,-12.8886646279,-4.08929054054
bredsattra,,æː,3,29,158.0,489.0,-11.99645746645,-6.424486347725
bredsattra,,øː,3,39,158.0,489.0,-11.5235832631,-4.62874330449
bredsattra,,ɑː,3,13,158.0,489.0,-8.33341530055,-5.65692307692
bredsattra,,ʉ̟ː,3,14,158.0,489.0,-11.655006958,-3.98572761986
broby,,eː,2,7,99.0,510.0,-12.554554029675,-4.4827767400625
broby,,oː,2,8,99.0,510.0,-8.074286153935,-4.353143299905
broby,,uː,2,8,99.0,510.0,-10.725251211015,-4.4054966947050005
broby,,yː,2,8,99.0,510.0,-11.77554462825,-4.543250753395
broby,,æː,2,16,99.0,510.0,-11.9482126247,-5.777541948905
broby,,øː,2,23,99.0,510.0,-10.664016140274999,-4.4283344717275
broby,,ɑː,2,8,99.0,510.0,-9.0746240645,-5.29870538671
broby,,ʉ̟ː,2,7,99.0,510.0,-11.437686501975,-4.1152190851225
burseryd,,eː,2,10,84.0,478.0,-13.0284008638,-4.140711046165
burseryd,,oː,2,10,84.0,478.0,-7.47492927707,-4.402099986775
burseryd,,uː,2,11,84.0,478.0,-8.297460546404999,-3.847728831235
burseryd,,yː,2,9,84.0,478.0,-12.395616135575,-3.7864596932075
burseryd,,æː,2,13,84.0,478.0,-11.390311270275,-6.0182370125
burseryd,,øː,2,30,84.0,478.0,-11.0169611201,-4.34299597013
burseryd,,ɑː,2,10,84.0,478.0,-8.13181921447,-5.37870865064
burseryd,,ʉ̟ː,2,9,84.0,478.0,-11.66555153455,-3.86375990143
burtrask,,eː,3,22,222.0,177.0,-12.56511692005,-4.84949429038
burtrask,,oː,3,12,222.0,177.0,-7.31659328762,-4.565815373105
burtrask,,uː,3,17,222.0,177.0,-7.39836148042,-3.63017241379
burtrask,,yː,3,12,222.0,177.0,-12.990268083,-3.86208191126
burtrask,,æː,3,25,222.0,177.0,-11.5046314885,-6.227484366575
burtrask,,øː,3,42,222.0,177.0,-11.3262151394,-5.28615261686
burtrask,,ɑː,3,12,222.0,177.0,-9.9304044804,-6.54751783703
burtrask,,ʉ̟ː,3,11,222.0,177.0,-11.26433948365,-3.923993788045
dalby,,eː,2,15,82.0,336.0,-12.682487258950001,-4.2308702316525
dalby,,oː,2,8,82.0,336.0,-7.1672032395750005,-4.305707428917501
dalby,,uː,2,8,82.0,336.0,-6.8746474810075,-3.8083276870650002
dalby,,yː,2,7,82.0,336.0,-12.55061569015,-3.8723095893675
dalby,,æː,2,7,82.0,336.0,-12.069240189550001,-6.0880842772224995
dalby,,øː,2,21,82.0,336.0,-11.1597843436,-4.839323096499999
dalby,,ɑː,2,8,82.0,336.0,-8.4117293986125,-5.5078416768125
dalby,,ʉ̟ː,2,7,82.0,336.0,-11.091005512399999,-3.9310540781350003
dragsfjard,,eː,3,18,272.0,350.0,-12.65948339915,-4.966767368519999
dragsfjard,,oː,3,9,272.0,350.0,-7.59308677098,-4.97115977291
dragsfjard,,uː,3,9,272.0,350.0,-6.28471841705,-3.85251387111
dragsfjard,,yː,3,9,272.0,350.0,-12.45764937815,-3.6642396233100003
dragsfjard,,æː,3,8,272.0,350.0,-12.8407161125,-5.0657892612
dragsfjard,,øː,3,30,272.0,350.0,-11.4569816643,-4.757306944105
