method,space,vowel,response,n_villages,spline_df,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p,geographic_coordinate,knots_geographic_position,coefficient_0,coefficient_1,coefficient_2,coefficient_3
pca,pca,uː,display_x,79,4,0.49504911219122116,24.50976541201236,3.70328249216878e-11,27.69015771859482,9.870663550865783e-10,axis,0;88.2473;234.754;427.282,-6.997114203496436,0.5330080141842012,-0.004660542544571739,0.006298724198272365
pca,pca,uː,display_y,79,4,0.2287690309875693,7.415710733209744,0.0002045524411190671,4.036511020980234,0.02162952678799246,axis,0;88.2473;234.754;427.282,1.255175509709519,-0.022241044861990602,0.0009488697473742742,-0.0016144121448852015
pca,pca,oː,display_x,78,4,0.46714296075436834,21.624673880485314,3.686540767469979e-10,32.36719695896268,7.957202395690025e-11,axis,0;87.0812;235.752;427.282,2.9551187319866017,0.5005070298203065,-0.004971390132148252,0.00676110810202472
pca,pca,oː,display_y,78,4,0.4597272206901031,20.989282719075064,6.101284341183534e-10,28.06212405512854,8.517634626768658e-10,axis,0;87.0812;235.752;427.282,-17.498919349198243,0.21527943341666636,-0.0018443346593249772,0.002394304807609759
pca,pca,ɑː,display_x,77,4,0.1893596664911602,5.684089101110579,0.0014854871020897672,7.173182054840271,0.0014316868543857641,axis,0;85.9151;236.75;427.282,8.258638877617585,0.17672854184453424,-0.0015847839778745732,0.001883366143835506
pca,pca,ɑː,display_y,77,4,0.04164828490614292,1.0574839940507257,0.3725257659176385,1.5696276432643566,0.21506492808291555,axis,0;85.9151;236.75;427.282,-23.792907655347765,0.007761951941677812,6.231822694181089e-05,-0.00017894954227337044
pca,pca,æː,display_x,77,4,0.09037350588842641,2.417573210016149,0.07313939482668957,3.0745662575759978,0.05223956837281929,axis,0;85.9151;236.75;427.282,-32.45150429010371,0.09614859056427713,-0.0008551751469610843,0.0010119928086471967
pca,pca,æː,display_y,77,4,0.1158768642049024,3.1892281155876976,0.02861783508712313,4.613493557911494,0.012979549355610638,axis,0;85.9151;236.75;427.282,-13.229497850354694,0.06011636908134197,-0.00034012025212952826,0.00026147125632142696
pca,pca,eː,display_x,78,4,0.24215505481378818,7.8817679746777705,0.00012426319682716142,11.326989685154816,5.1102633277044756e-05,axis,0;87.0812;231.029;427.282,-28.469510539017016,0.21098863525981626,-0.0019185533748272536,0.002417783929667973
pca,pca,eː,display_y,78,4,0.2810907253038848,9.644570557381298,1.889000580349654e-05,14.20347407419826,6.017068399350211e-06,axis,0;87.0812;231.029;427.282,0.7475721043418562,0.1956549146041073,-0.002084716542432285,0.0028985399943906314
pca,pca,yː,display_x,76,4,0.08498894800679802,2.2291913826832133,0.09210744095410368,3.314596541216183,0.04197129737758925,axis,0;83.9627;233.755;427.282,-17.471569158996644,0.16763168361780934,-0.0016797439319712643,0.0022023478776589077
pca,pca,yː,display_y,76,4,0.27499998514696533,9.103447597673584,3.4805968802275134e-05,4.449055199268666,0.015072603648681038,axis,0;83.9627;233.755;427.282,12.336216758507048,0.08764281044518366,-0.0004336494000316287,0.0004495249168636559
pca,pca,ʉ̟ː,display_x,78,4,0.07922783665017852,2.122443222285592,0.10458582108690066,3.1736069714455004,0.04760507044631295,axis,0;87.0812;235.752;427.282,-1.9400362573374514,-0.0031871005077586906,0.0007115582629353107,-0.0014251694104200207
pca,pca,ʉ̟ː,display_y,78,4,0.10332031586728718,2.842227649952961,0.04351899246831554,1.1308507038973987,0.32827173637619683,axis,0;87.0812;235.752;427.282,5.704906653819441,0.10319783238581287,-0.0008800039801778214,0.0012378172574442812
pca,pca,øː,display_x,78,4,0.07223911086905932,1.9206436582734423,0.13360410951391954,2.11585304220144,0.127764433931924,axis,0;87.0812;235.752;427.282,-11.675168780735662,-0.006201784653336417,0.00042464154397082245,-0.0009132532718093004
pca,pca,øː,display_y,78,4,0.019331754406036072,0.4862500077452172,0.6928693389849392,0.6623007610166992,0.5186930678142607,axis,0;87.0812;235.752;427.282,-4.58140415152907,0.004081995759272166,-0.00022954703104689807,0.00045750832718438866
