region_marker,geographic_position,first_x,first_y,second_x,second_y,pair_length,directed_angle_from_horizontal_deg,pair,first_vowel,second_vowel
North,255.41444457498878,3.8422610193933266,16.87009916301783,-11.605662749742562,-7.502346076451305,28.855752212131907,-122.36764319344866,ʉ̟ː->øː,ʉ̟ː,øː
Centre,114.57844242616318,-0.4547148388175444,14.126437245192992,-10.934480096388162,-5.022492122898564,21.829039736047566,-118.69086602304252,ʉ̟ː->øː,ʉ̟ː,øː
South,42.96691590981119,-1.8128647461996032,10.799899598152551,-11.024264423899497,-4.041277629127684,17.467410383736656,-121.82642795250892,ʉ̟ː->øː,ʉ̟ː,øː
