pair,vowel,pair_member,response,n_villages,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p
uː->oː,uː,first,first_x,74,0.49451144599810415,22.826630425699314,2.051750661442643e-10,25.187393999878193,5.750262439184868e-09
uː->oː,uː,first,first_y,74,0.2510224134903247,7.820246898712647,0.00014202672144884732,4.359754403680205,0.016426621753435032
uː->oː,oː,second,second_x,74,0.5092704928730541,24.214924911706902,7.374802419825959e-11,35.85421284495883,1.903631296451946e-11
uː->oː,oː,second,second_y,74,0.48555456426887555,22.022950759599176,3.761413809930885e-10,27.94761634904153,1.1970338430077829e-09
