region_marker,geographic_position,first_x,first_y,second_x,second_y,pair_length,directed_angle_from_horizontal_deg,pair,first_vowel,second_vowel
North,255.41444457498878,34.33283294075278,10.92440444334894,32.50440018916356,-0.39815267072853544,11.469239989146212,-99.1732655166107,uː->oː,uː,oː
Centre,114.57844242616318,37.49396448987769,1.5301463148406604,43.2246252724084,0.9839652780890376,5.75662980652244,-5.444333143521769,uː->oː,uː,oː
South,42.96691590981119,15.364890645955773,0.3200364100776232,23.54694763733771,-8.454124755976984,11.99716469746593,-46.99993246415202,uː->oː,uː,oː
