village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,94.43409687486621,Centre,-41.50886266368101,14.409212155267978,yː->ʉ̟ː,yː,ʉ̟ː
anundsjo,182.0,230.0,322.74929689041943,North,-62.02959083602237,6.563273517500542,yː->ʉ̟ː,yː,ʉ̟ː
are,89.0,227.0,309.8163893481515,North,0.5751768220468776,12.258149345031416,yː->ʉ̟ː,yː,ʉ̟ː
arjeplog,171.0,122.0,427.2821082142336,North,5.913921763846396,13.771613186376165,yː->ʉ̟ː,yː,ʉ̟ː
arstad,70.0,485.0,52.36353118905221,South,-50.24565202115843,10.623760472560512,yː->ʉ̟ː,yː,ʉ̟ː
arsunda,156.0,343.0,206.96864741095214,North,-0.9581559508406414,17.186814237199904,yː->ʉ̟ː,yː,ʉ̟ː
asby,125.0,446.0,100.186736530837,Centre,-123.5982675506005,9.062687702016015,yː->ʉ̟ː,yː,ʉ̟ː
aspas,112.0,229.0,311.77528251009113,North,-66.12402228987253,15.505033269151546,yː->ʉ̟ː,yː,ʉ̟ː
bara,79.0,539.0,0.6950911219785691,South,-19.222511552707196,21.534248972870977,yː->ʉ̟ː,yː,ʉ̟ː
bengtsf,62.0,401.0,133.76174405913517,Centre,-32.396285357783505,9.722052246358412,yː->ʉ̟ː,yː,ʉ̟ː
berg,112.0,252.0,289.11343963427134,North,-88.82023270547467,10.674812351226501,yː->ʉ̟ː,yː,ʉ̟ː
bjurholm,197.0,211.0,344.0326593930225,North,-51.160655339900266,16.189469051948222,yː->ʉ̟ː,yː,ʉ̟ː
boda,163.0,475.0,78.10530644374003,Centre,-116.58111132170455,19.154574954971977,yː->ʉ̟ː,yː,ʉ̟ː
bredsattra,158.0,489.0,63.4569046509324,South,-40.36970526093716,8.696105666847465,yː->ʉ̟ː,yː,ʉ̟ː
broby,99.0,510.0,32.68566535202928,South,-63.713161227108344,24.720710759860665,yː->ʉ̟ː,yː,ʉ̟ː
burseryd,84.0,478.0,61.65247618276582,South,-50.243940533504585,8.715848755599675,yː->ʉ̟ː,yː,ʉ̟ː
burtrask,222.0,177.0,381.8039577688209,North,-65.81063325220362,16.645833090389953,yː->ʉ̟ː,yː,ʉ̟ː
dalby,82.0,336.0,201.22302887742558,North,-53.601833981987674,12.104361792126586,yː->ʉ̟ː,yː,ʉ̟ː
floby,85.0,439.0,100.24992663283506,Centre,-78.92844937264076,9.201948564851076,yː->ʉ̟ː,yː,ʉ̟ː
frandef,63.0,423.0,112.25604601246488,Centre,-42.49568424823007,8.886992822846413,yː->ʉ̟ː,yː,ʉ̟ː
frillesas,58.0,470.0,65.09282618043753,South,-148.57338236289235,7.57633215181194,yː->ʉ̟ː,yː,ʉ̟ː
grangarde,119.0,354.0,189.80902415725896,North,-14.90965379346951,5.5415326673222705,yː->ʉ̟ː,yː,ʉ̟ː
graso,189.0,350.0,205.70952611928726,North,-68.99784945873023,13.217161045107984,yː->ʉ̟ː,yː,ʉ̟ː
hammaro,90.0,391.0,148.3984439812024,Centre,-65.3948900904906,9.132617830867382,yː->ʉ̟ː,yː,ʉ̟ː
hamneda,93.0,496.0,45.45474670393189,South,-21.27271285957817,16.285030275618297,yː->ʉ̟ː,yː,ʉ̟ː
haraker,149.0,373.0,176.21379073108554,North,-48.20908973967567,15.520759625169834,yː->ʉ̟ː,yː,ʉ̟ː
jamshog,108.0,514.0,30.28210110195524,South,-25.789665900487556,7.076867521597578,yː->ʉ̟ː,yː,ʉ̟ː
jarnboas,117.0,378.0,165.82018913948008,North,-73.05272180446269,15.047195866134858,yː->ʉ̟ː,yː,ʉ̟ː
jarsnas,113.0,452.0,92.22478367908248,Centre,-48.154468184242255,11.40503672722484,yː->ʉ̟ː,yː,ʉ̟ː
karna,53.0,448.0,85.9151349758696,Centre,-163.05759195161977,5.713533107709904,yː->ʉ̟ː,yː,ʉ̟ː
karsta,186.0,377.0,178.59395123967883,North,-74.52267622978701,17.033634472053553,yː->ʉ̟ː,yː,ʉ̟ː
korsberga,100.0,432.0,109.7097189393582,Centre,-33.6411990497778,12.458680184881553,yː->ʉ̟ː,yː,ʉ̟ː
kramfors,173.0,248.0,303.4763157810137,North,-39.287648602546135,11.292283191371032,yː->ʉ̟ː,yː,ʉ̟ː
lanna,161.0,393.0,158.55800815800026,Centre,-94.84273379353857,17.571977009465108,yː->ʉ̟ː,yː,ʉ̟ː
leksand,120.0,335.0,208.70052428052836,North,-57.39752423159209,13.91060095943751,yː->ʉ̟ː,yː,ʉ̟ː
loderup,98.0,543.0,0.0,South,-26.34951673515925,23.70966820956023,yː->ʉ̟ː,yː,ʉ̟ː
malung,96.0,337.0,202.62959374041924,North,-73.26860668125732,17.533022121721068,yː->ʉ̟ː,yː,ʉ̟ː
n_rorum,84.0,522.0,18.299385463806168,South,-13.468857628602514,27.9780399081534,yː->ʉ̟ː,yː,ʉ̟ː
nora,160.0,357.0,193.85787143343043,North,-9.702603794941517,8.07735519915975,yː->ʉ̟ː,yː,ʉ̟ː
nysatra,228.0,188.0,371.9907689659383,North,-46.915068134305464,8.947002203980915,yː->ʉ̟ː,yː,ʉ̟ː
ockelbo,156.0,328.0,221.748110156052,North,-58.81940096186238,10.206446087931033,yː->ʉ̟ː,yː,ʉ̟ː
orust,49.0,436.0,97.05531592071132,Centre,61.55263280381789,9.837487437842626,yː->ʉ̟ː,yː,ʉ̟ː
ossjo,74.0,515.0,23.48799495009064,South,-27.733116257212195,26.040362013793544,yː->ʉ̟ː,yː,ʉ̟ː
ostad,63.0,445.0,90.57950065298506,Centre,70.87996438437142,10.885562861612781,yː->ʉ̟ː,yː,ʉ̟ː
ovanaker,140.0,310.0,236.74990844521912,North,-11.57116481042376,14.069027048031973,yː->ʉ̟ː,yː,ʉ̟ː
oxaback,71.0,468.0,69.28443627964162,South,-71.97534666984367,11.215509101808422,yː->ʉ̟ː,yː,ʉ̟ː
pitea,233.0,141.0,419.15398879796567,North,-98.5115699525121,9.448320591970816,yː->ʉ̟ː,yː,ʉ̟ː
ragunda,145.0,241.0,305.5896736367263,North,-99.05270759354227,11.986740854323433,yː->ʉ̟ː,yː,ʉ̟ː
rimforsa,134.0,437.0,110.59203999318285,Centre,-62.96789850737863,13.227642742597295,yː->ʉ̟ː,yː,ʉ̟ː
s_finnskoga,74.0,333.0,202.8121429239692,North,-5.843373399943651,13.587103243632304,yː->ʉ̟ː,yː,ʉ̟ː
s_mellosa,129.0,395.0,151.12029911541478,Centre,-19.09228106932934,19.308683745920458,yː->ʉ̟ː,yː,ʉ̟ː
segerstad,153.0,510.0,41.911420243744836,South,-107.85525465259266,9.751707791943957,yː->ʉ̟ː,yː,ʉ̟ː
skee,42.0,404.0,127.38890525392424,Centre,-24.07138374866505,9.312585249062625,yː->ʉ̟ː,yː,ʉ̟ː
skinnskatteberg,135.0,371.0,175.79252338443186,North,-5.537127699980083,29.04591292429067,yː->ʉ̟ː,yː,ʉ̟ː
skog,157.0,317.0,232.75723014860148,North,-31.8518700254429,12.035117626855998,yː->ʉ̟ː,yː,ʉ̟ː
skuttunge,171.0,364.0,188.8401092599555,North,-44.03942246551244,14.916002024477677,yː->ʉ̟ː,yː,ʉ̟ː
sorsele,166.0,143.0,405.736623807046,North,-37.93823427550347,10.467029269464247,yː->ʉ̟ː,yː,ʉ̟ː
sorunda,181.0,406.0,149.16608670177132,Centre,-131.36056233890946,17.82055146240974,yː->ʉ̟ː,yː,ʉ̟ː
st_anna,157.0,436.0,115.50682570414243,Centre,-35.774028828395096,11.493968669740285,yː->ʉ̟ː,yː,ʉ̟ː
stenberga,128.0,474.0,73.11094801174586,South,-34.28792701895727,13.019371006902338,yː->ʉ̟ː,yː,ʉ̟ː
storsjo,87.0,251.0,285.8275543303726,North,-56.60175776750835,15.57937612173345,yː->ʉ̟ː,yː,ʉ̟ː
strom,132.0,211.0,332.92758406040195,North,-46.883260854462286,6.543992846179661,yː->ʉ̟ː,yː,ʉ̟ː
tjallmo,128.0,416.0,130.2582039594654,Centre,-45.12529218583139,16.9412445639412,yː->ʉ̟ː,yː,ʉ̟ː
torhamn,135.0,521.0,27.997895933433075,South,11.557076743740772,12.201187477155294,yː->ʉ̟ː,yː,ʉ̟ː
torp,145.0,265.0,281.9425332445665,North,-11.269144463815813,17.10827739550268,yː->ʉ̟ː,yː,ʉ̟ː
torsas,144.0,504.0,46.285579526498864,South,-66.23070085786134,6.611684357082907,yː->ʉ̟ː,yː,ʉ̟ː
torso,95.0,414.0,126.59083766943033,Centre,-62.34641118886727,14.102681829730763,yː->ʉ̟ː,yː,ʉ̟ː
v_vingaker,139.0,402.0,145.93168962913032,Centre,-54.4636470413493,13.110352957468974,yː->ʉ̟ː,yː,ʉ̟ː
vackelsang,116.0,500.0,45.44304483319151,South,-32.691997433204754,13.018999941187882,yː->ʉ̟ː,yː,ʉ̟ː
vaxtorp,78.0,504.0,35.00965688106874,South,-35.996358139618216,8.875386526020224,yː->ʉ̟ː,yː,ʉ̟ː
vemdalen,102.0,266.0,273.610801277416,North,-23.028664693424552,21.30564449153158,yː->ʉ̟ː,yː,ʉ̟ː
