pair,vowel,pair_member,response,n_villages,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p
æː->eː,æː,first,first_x,74,0.08548266017013528,2.181036178429262,0.09792688899565555,2.7818726886742513,0.06877961535654192
æː->eː,æː,first,first_y,74,0.11784858505731699,3.117152306764401,0.03150871237600769,4.453073202856695,0.015120014649485865
æː->eː,eː,second,second_x,74,0.19952676738108588,5.816090260749253,0.001314319669499826,8.171277833483137,0.0006464871937075187
æː->eː,eː,second,second_y,74,0.24026648748151214,7.379190135565933,0.00022938052857771163,10.654494608756023,9.129724414036731e-05
