band,center_bark,mean_db,pc1_loading,pc2_loading,pc3_loading
1,1.0,67.22176066832748,-0.011651705297059313,0.11824205950255873,-0.16789195582629868
2,2.0,69.01152293380657,-0.008904390404824214,0.16484625163006633,-0.10889621337789936
3,3.0,69.74715988087053,-0.03176528447102653,0.23600104496708704,-0.021654242502233953
4,4.0,71.7786691064939,-0.03397202675648436,0.1311235395029005,0.07083205061843618
5,5.0,71.38607163592101,0.019847347659128337,-0.19011789616820818,0.08839916606300283
6,6.0,66.56169071865477,0.04637839199025569,-0.3691486448103181,0.03353063945843141
7,7.0,60.91390396063608,0.010338113071341816,-0.3967364367108454,-0.0448618207328799
8,8.0,55.95355163596379,-0.023127583763767997,-0.43014983902285503,-0.06222050536865103
9,9.0,51.22246555320113,0.041433202539857196,-0.4456320282436449,-0.005810196810356402
10,10.0,48.285597561185405,0.20310863100441984,-0.3301942025365528,0.1121287601779519
11,11.0,47.11779813069796,0.3698156479502078,-0.12249469361595947,0.20610599515580588
12,12.0,45.08697049929916,0.46443800491721543,0.09544163488632634,0.21445458356110358
13,13.0,42.50629361569842,0.41248979422835313,0.15047423210766747,0.1877322506696936
14,14.0,43.470145195488804,0.3415074993781787,0.06994011665086186,0.18194057973146854
15,15.0,41.883424352742125,0.33153595686751663,0.056100642165760425,-0.04469330868146206
16,16.0,38.54658473102123,0.24357680520050284,0.050102576382282146,-0.1009831538291663
17,17.0,36.69113624461371,0.23783572459826288,0.04322284628019662,-0.26211991652450617
18,18.0,31.884480225256276,0.19999509715551422,-0.006822449908366657,-0.48808442417333886
19,19.0,27.984717502452156,0.15438771789154615,-0.06518962486523008,-0.5234287182584934
20,20.0,27.18147681072048,0.15026207761728264,0.004914111013840122,-0.420851900591248
