village,fit_basis,n_points,centroid_pc2,centroid_pc1,ellipse_angle_deg,ellipse_angle_signed_deg,ellipse_angle_from_vertical_signed_deg,major_axis_sd,minor_axis_sd,axis_ratio,orientation_reliable
arsunda,vowels,8,0.18390731782115233,-5.514103467259611,93.69548140238666,-86.30451859761334,-3.695481402386662,24.41806879313342,15.765354542761276,1.548843619526785,1
arsunda,midpoints,6,-1.7615803692841598,-7.082982301657015,86.88519890234339,86.88519890234339,3.11480109765661,21.903982632713202,13.404250103508598,1.6341072766897848,1
asby,vowels,8,-2.0190001900635606,-1.003022263092548,79.01428060553125,79.01428060553125,10.985719394468745,27.752183958021288,10.545789634050461,2.631588996277194,1
asby,midpoints,6,-3.119870664900285,-2.662687800362509,80.61996974807161,80.61996974807161,9.380030251928389,26.498899050078865,7.132439894598952,3.7152642632355284,1
aspas,vowels,8,6.7482179796106765,-5.568921639928007,92.17154694588648,-87.82845305411352,-2.171546945886476,25.17510065396151,18.612079335680296,1.3526216066412082,1
aspas,midpoints,6,4.165643187978923,-7.226082157916472,85.91100437949135,85.91100437949135,4.088995620508655,23.15352387037969,16.138842060086642,1.4346459172335062,1
bara,vowels,8,-2.7636628341816625,4.574233901631082,65.53741789074924,65.53741789074924,24.46258210925076,17.40502901376977,11.395252354605814,1.5273930293202223,1
bara,midpoints,6,-4.8774010660661675,2.17337742608253,58.11906283052681,58.11906283052681,31.880937169473192,13.50535199473406,8.516184403961194,1.5858454155187407,1
frillesas,vowels,8,1.5579874173823614,-7.028476656085249,83.73257180335712,83.73257180335712,6.267428196642882,23.385552418729315,11.956869824322673,1.9558256268006202,1
frillesas,midpoints,6,-0.5860539370973804,-7.619377323022213,83.94529736892218,83.94529736892218,6.0547026310778165,21.274726506921258,9.621476946305506,2.2111705537152915,1
hammaro,vowels,8,-3.944312072567869,-4.227445166012067,86.18681910948852,86.18681910948852,3.8131808905114752,22.326520787072738,15.02210515914763,1.48624447442888,1
hammaro,midpoints,6,-5.637067958516417,-4.850585731830073,85.92268305189855,85.92268305189855,4.077316948101455,21.242942110353912,12.071075940514012,1.7598217603002955,1
