method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
fasttrack,village,bengtsf,,oː->ɑː,oː,ɑː,-803.5,-512.0,62.0,401.0
fasttrack,village,bengtsf,,ɑː->æː,ɑː,æː,-1332.0,-569.5,62.0,401.0
fasttrack,village,bengtsf,,æː->eː,æː,eː,-2002.75,-488.5,62.0,401.0
fasttrack,village,bengtsf,,yː->ʉ̟ː,yː,ʉ̟ː,-1583.5,-399.25,62.0,401.0
fasttrack,village,bengtsf,,ʉ̟ː->øː,ʉ̟ː,øː,-1514.75,-453.75,62.0,401.0
fasttrack,village,berg,,uː->oː,uː,oː,-814.5,-409.5,112.0,252.0
fasttrack,village,berg,,oː->ɑː,oː,ɑː,-876.0,-535.5,112.0,252.0
fasttrack,village,berg,,ɑː->æː,ɑː,æː,-1317.0,-640.25,112.0,252.0
fasttrack,village,berg,,æː->eː,æː,eː,-1769.5,-614.5,112.0,252.0
fasttrack,village,berg,,yː->ʉ̟ː,yː,ʉ̟ː,-1794.0,-387.0,112.0,252.0
fasttrack,village,berg,,ʉ̟ː->øː,ʉ̟ː,øː,-1514.25,-467.25,112.0,252.0
fasttrack,village,bjurholm,,uː->oː,uː,oː,-794.75,-435.0,197.0,211.0
fasttrack,village,bjurholm,,oː->ɑː,oː,ɑː,-889.25,-527.25,197.0,211.0
fasttrack,village,bjurholm,,ɑː->æː,ɑː,æː,-1312.0,-618.5,197.0,211.0
fasttrack,village,bjurholm,,æː->eː,æː,eː,-1748.0,-548.75,197.0,211.0
fasttrack,village,bjurholm,,yː->ʉ̟ː,yː,ʉ̟ː,-1840.5,-374.0,197.0,211.0
fasttrack,village,bjurholm,,ʉ̟ː->øː,ʉ̟ː,øː,-1601.0,-427.75,197.0,211.0
fasttrack,village,boda,,uː->oː,uː,oː,-794.75,-436.5,163.0,475.0
fasttrack,village,boda,,oː->ɑː,oː,ɑː,-841.0,-542.0,163.0,475.0
fasttrack,village,boda,,ɑː->æː,ɑː,æː,-1218.5,-658.5,163.0,475.0
fasttrack,village,boda,,æː->eː,æː,eː,-1743.0,-563.0,163.0,475.0
fasttrack,village,boda,,yː->ʉ̟ː,yː,ʉ̟ː,-1638.25,-429.0,163.0,475.0
fasttrack,village,boda,,ʉ̟ː->øː,ʉ̟ː,øː,-1540.25,-498.75,163.0,475.0
fasttrack,village,borga,,uː->oː,uː,oː,-790.0,-449.0,337.0,331.0
fasttrack,village,borga,,oː->ɑː,oː,ɑː,-980.25,-585.75,337.0,331.0
fasttrack,village,borga,,ɑː->æː,ɑː,æː,-1470.0,-618.5,337.0,331.0
fasttrack,village,borga,,æː->eː,æː,eː,-1847.0,-535.5,337.0,331.0
fasttrack,village,borga,,yː->ʉ̟ː,yː,ʉ̟ː,-1565.5,-327.0,337.0,331.0
fasttrack,village,borga,,ʉ̟ː->øː,ʉ̟ː,øː,-1264.0,-408.25,337.0,331.0
fasttrack,village,brando,,uː->oː,uː,oː,-767.75,-424.5,237.0,337.0
fasttrack,village,brando,,oː->ɑː,oː,ɑː,-900.25,-556.5,237.0,337.0
fasttrack,village,brando,,ɑː->æː,ɑː,æː,-1283.5,-637.0,237.0,337.0
fasttrack,village,brando,,æː->eː,æː,eː,-1675.5,-606.0,237.0,337.0
fasttrack,village,brando,,yː->ʉ̟ː,yː,ʉ̟ː,-1562.5,-400.0,237.0,337.0
fasttrack,village,brando,,ʉ̟ː->øː,ʉ̟ː,øː,-1298.0,-490.25,237.0,337.0
fasttrack,village,bredsattra,,uː->oː,uː,oː,-819.5,-418.5,158.0,489.0
fasttrack,village,bredsattra,,oː->ɑː,oː,ɑː,-876.0,-516.0,158.0,489.0
fasttrack,village,bredsattra,,ɑː->æː,ɑː,æː,-1343.5,-637.25,158.0,489.0
fasttrack,village,bredsattra,,æː->eː,æː,eː,-1876.5,-588.25,158.0,489.0
fasttrack,village,bredsattra,,yː->ʉ̟ː,yː,ʉ̟ː,-1798.5,-402.5,158.0,489.0
fasttrack,village,bredsattra,,ʉ̟ː->øː,ʉ̟ː,øː,-1617.0,-432.0,158.0,489.0
fasttrack,village,broby,,uː->oː,uː,oː,-1177.5,-439.75,99.0,510.0
fasttrack,village,broby,,oː->ɑː,oː,ɑː,-1011.0,-490.5,99.0,510.0
fasttrack,village,broby,,ɑː->æː,ɑː,æː,-1401.75,-573.75,99.0,510.0
fasttrack,village,broby,,æː->eː,æː,eː,-1789.75,-526.875,99.0,510.0
fasttrack,village,broby,,yː->ʉ̟ː,yː,ʉ̟ː,-1625.875,-434.875,99.0,510.0
fasttrack,village,broby,,ʉ̟ː->øː,ʉ̟ː,øː,-1493.625,-428.5,99.0,510.0
fasttrack,village,burseryd,,uː->oː,uː,oː,-900.375,-413.375,84.0,478.0
fasttrack,village,burseryd,,oː->ɑː,oː,ɑː,-885.75,-498.875,84.0,478.0
