village,vowel,n_speakers,geo_x,geo_y,display_x,display_y
alvdalen,eː,3,105.0,315.0,-13.0969593578,-4.50312474099
alvdalen,oː,2,105.0,315.0,-7.5477390675675,-5.083693401750001
alvdalen,uː,3,105.0,315.0,-8.103650522355,-3.828434019545
alvdalen,øː,3,105.0,315.0,-7.462494286365001,-4.344035779885
alvdalen,ʉ̟ː,3,105.0,315.0,-8.604858889315,-5.56750492708
ankarsrum,eː,3,149.0,456.0,-12.5078408877,-4.38498040695
ankarsrum,oː,3,149.0,456.0,-6.97522409993,-4.35776387151
ankarsrum,uː,3,149.0,456.0,-7.73815102329,-4.56611570248
ankarsrum,yː,3,149.0,456.0,-12.826953405,-4.54815550041
ankarsrum,æː,3,149.0,456.0,-11.599216379200001,-5.95996906419
ankarsrum,øː,3,149.0,456.0,-10.329839262,-5.66899246607
ankarsrum,ɑː,3,149.0,456.0,-8.37011588275,-5.59196850394
ankarsrum,ʉ̟ː,3,149.0,456.0,-11.5690257559,-4.3072690554649995
anundsjo,eː,3,182.0,230.0,-12.9260991105,-4.76173628174
anundsjo,oː,3,182.0,230.0,-7.22720812183,-4.56611570248
anundsjo,uː,3,182.0,230.0,-6.97522409993,-3.94782830429
anundsjo,yː,3,182.0,230.0,-13.10354088645,-3.985691502385
anundsjo,æː,3,182.0,230.0,-12.318991575950001,-5.79750477076
anundsjo,øː,3,182.0,230.0,-11.804077135,-4.67325657895
anundsjo,ɑː,3,182.0,230.0,-7.77732394366,-5.42777777778
anundsjo,ʉ̟ː,3,182.0,230.0,-12.1429001883,-3.9002725724
are,eː,3,89.0,227.0,-12.8988948307,-5.04864646465
are,oː,3,89.0,227.0,-7.017517629855,-4.48506014102
are,uː,3,89.0,227.0,-6.62133931912,-3.7554512128599997
are,yː,3,89.0,227.0,-13.1398149537,-3.38333358648
are,æː,3,89.0,227.0,-12.0510095729,-6.1001890503
are,øː,3,89.0,227.0,-10.4476408557,-5.51019762846
are,ɑː,3,89.0,227.0,-8.16013793103,-5.42777777778
are,ʉ̟ː,3,89.0,227.0,-12.1694736842,-3.5812484643299998
arjeplog,eː,3,171.0,122.0,-12.890368791850001,-4.74850964735
arjeplog,oː,3,171.0,122.0,-7.59972982581,-4.8213494451950005
arjeplog,uː,3,171.0,122.0,-8.430899601955,-3.7396015336649997
arjeplog,yː,3,171.0,122.0,-12.8988948307,-3.72738197425
arjeplog,æː,3,171.0,122.0,-11.7097515569,-6.2160061092
arjeplog,øː,3,171.0,122.0,-11.88733073705,-4.770540808630001
arjeplog,ɑː,3,171.0,122.0,-8.168919739195001,-5.774994799125
arjeplog,ʉ̟ː,3,171.0,122.0,-12.085161816,-3.828548778755
arstad,eː,3,70.0,485.0,-13.71595439265,-4.60194719472
arstad,oː,3,70.0,485.0,-6.733540865225,-4.20117647059
arstad,uː,3,70.0,485.0,-9.023342997185,-4.3165068439350005
arstad,yː,3,70.0,485.0,-12.8359870944,-4.43068229316
arstad,æː,3,70.0,485.0,-12.2598292423,-5.90481582009
arstad,øː,3,70.0,485.0,-10.5283213429,-4.704298939685
arstad,ɑː,3,70.0,485.0,-7.28231381056,-5.210270996785
arstad,ʉ̟ː,3,70.0,485.0,-11.27710870185,-4.34861435726
arsunda,eː,3,156.0,343.0,-12.0587280108,-5.07435028249
arsunda,oː,3,156.0,343.0,-7.12640241804,-4.46696554587
arsunda,uː,3,156.0,343.0,-7.02474166361,-4.39428571429
arsunda,yː,3,156.0,343.0,-12.6982993021,-3.94782830429
arsunda,æː,3,156.0,343.0,-11.4881466411,-6.341240549589999
arsunda,øː,3,156.0,343.0,-10.7425665287,-5.4855401662
arsunda,ɑː,3,156.0,343.0,-7.71850229601,-5.70537196554
arsunda,ʉ̟ː,3,156.0,343.0,-11.515290812,-3.8045508982
asby,eː,3,125.0,446.0,-12.951466623750001,-4.34861435726
asby,oː,3,125.0,446.0,-6.896883585685,-4.57508467575
asby,uː,3,125.0,446.0,-7.91955276031,-4.59300041271
asby,yː,3,125.0,446.0,-12.0317353579,-4.40242645096
asby,æː,3,125.0,446.0,-12.3637133151,-5.999154594065001
asby,øː,3,125.0,446.0,-11.0752533566,-5.65692307692
asby,ɑː,3,125.0,446.0,-7.98348189415,-5.27776179057
asby,ʉ̟ː,3,125.0,446.0,-11.7117715553,-4.68213727908
aspas,eː,3,112.0,229.0,-12.42953741965,-4.832
aspas,oː,3,112.0,229.0,-7.13,-4.43976724855
aspas,uː,3,112.0,229.0,-6.70919925512,-3.45306689835
aspas,yː,2,112.0,229.0,-12.99996966545,-3.23103347441
aspas,æː,3,112.0,229.0,-11.32408678975,-6.23131629149
aspas,øː,3,112.0,229.0,-11.0664504922,-4.93653939886
aspas,ɑː,3,112.0,229.0,-7.75122708039,-5.21039294306
aspas,ʉ̟ː,3,112.0,229.0,-11.6996448391,-3.60084592145
bara,eː,3,79.0,539.0,-12.1731423029,-5.0657892612
bara,oː,3,79.0,539.0,-9.190387336715,-5.060778731945
bara,uː,3,79.0,539.0,-9.870653605775,-4.2055947881
bara,yː,3,79.0,539.0,-11.8120484581,-4.2981080756650005
bara,æː,3,79.0,539.0,-10.8248235294,-5.81753894081
bara,øː,3,79.0,539.0,-10.0716101172,-5.197712291045001
bara,ɑː,3,79.0,539.0,-8.523496055915,-5.1934288173
bara,ʉ̟ː,3,79.0,539.0,-10.2886427267,-4.23358891899
bengtsf,eː,3,62.0,401.0,-13.61640032135,-4.04233601354
bengtsf,oː,3,62.0,401.0,-6.95392423685,-4.55713931377
bengtsf,uː,3,62.0,401.0,-6.51783377209,-3.94757015431
bengtsf,yː,3,62.0,401.0,-11.96560024465,-3.895504841805
bengtsf,æː,3,62.0,401.0,-12.3637133151,-5.54298342541
bengtsf,øː,3,62.0,401.0,-11.408724619800001,-4.888751403624999
bengtsf,ɑː,3,62.0,401.0,-7.56646723647,-5.46903992963
bengtsf,ʉ̟ː,3,62.0,401.0,-10.8972131148,-4.11736819907
berg,eː,3,112.0,252.0,-12.447062755000001,-5.31542690604
berg,oː,3,112.0,252.0,-7.36437724982,-4.68213727908
berg,uː,3,112.0,252.0,-7.31659328762,-3.49266261925
berg,yː,3,112.0,252.0,-13.0737672782,-3.82376068376
berg,æː,3,112.0,252.0,-11.9227322404,-6.394430678565
berg,øː,3,112.0,252.0,-10.91294982095,-5.26516212715
berg,ɑː,3,112.0,252.0,-8.12257083621,-5.737544957
berg,ʉ̟ː,3,112.0,252.0,-11.3897761405,-3.957311179745
bjurholm,eː,3,197.0,211.0,-12.5384728033,-4.48506014102
bjurholm,oː,3,197.0,211.0,-7.14682189181,-4.60194719472
bjurholm,uː,3,197.0,211.0,-7.26168657257,-4.07038971618
bjurholm,yː,3,197.0,211.0,-13.1431,-3.79493367565
bjurholm,æː,3,197.0,211.0,-11.65092520765,-6.1197488014850006
bjurholm,øː,3,197.0,211.0,-11.355944334,-4.78374219741
bjurholm,ɑː,3,197.0,211.0,-8.47932249322,-5.676908982624999
bjurholm,ʉ̟ː,3,197.0,211.0,-11.6874979172,-3.73705705706
boda,eː,3,163.0,475.0,-13.0333341599,-4.539130759275
boda,oː,3,163.0,475.0,-6.96102941176,-4.57508467575
boda,uː,1,163.0,475.0,-7.455028471035,-4.26171545532
boda,yː,3,163.0,475.0,-12.712322744,-3.9667940552
boda,æː,3,163.0,475.0,-11.61822531975,-6.33405128382
boda,øː,3,163.0,475.0,-11.3219535919,-4.88439739414
boda,ɑː,3,163.0,475.0,-8.5513900135,-5.77761997659
boda,ʉ̟ː,3,163.0,475.0,-11.21258007095,-4.38516666667
borga,eː,2,337.0,331.0,-12.369485776325,-4.989738617397499
borga,oː,2,337.0,331.0,-7.61326551579,-4.87508207928
borga,uː,2,337.0,331.0,-7.24296342667,-4.18408001485
borga,yː,2,337.0,331.0,-12.872675176575001,-3.8688757248899996
borga,æː,3,337.0,331.0,-11.9422509215,-5.415357525855
borga,øː,3,337.0,331.0,-11.18660545525,-5.05722132472
borga,ɑː,3,337.0,331.0,-9.30726098191,-6.10817658349
borga,ʉ̟ː,1,337.0,331.0,-8.565714224025,-3.262982020175
brando,eː,3,237.0,337.0,-12.2185603425,-5.38632206759
brando,oː,3,237.0,337.0,-7.28260913617,-4.882180255665
brando,uː,3,237.0,337.0,-6.73104166667,-3.56162559447
brando,yː,3,237.0,337.0,-12.6807246377,-4.19189575452
brando,æː,3,237.0,337.0,-11.4108432371,-6.20067252579
brando,øː,3,237.0,337.0,-10.5235287843,-5.749094216905
brando,ɑː,3,237.0,337.0,-8.48535049103,-5.88900271634
brando,ʉ̟ː,3,237.0,337.0,-9.76079220371,-3.83335326783
bredsattra,eː,3,158.0,489.0,-13.1233650476,-4.832
bredsattra,oː,3,158.0,489.0,-7.13,-4.42159733777
bredsattra,uː,3,158.0,489.0,-7.6130017762,-3.94782830429
bredsattra,yː,3,158.0,489.0,-12.8886646279,-4.08929054054
bredsattra,æː,3,158.0,489.0,-11.99645746645,-6.424486347725
bredsattra,øː,3,158.0,489.0,-11.5235832631,-4.62874330449
bredsattra,ɑː,3,158.0,489.0,-8.33341530055,-5.65692307692
bredsattra,ʉ̟ː,3,158.0,489.0,-11.655006958,-3.98572761986
broby,eː,3,99.0,510.0,-12.16944824725,-4.50312474099
broby,oː,2,99.0,510.0,-8.074286153935,-4.353143299905
broby,uː,3,99.0,510.0,-11.5813706294,-4.7969255928
broby,yː,3,99.0,510.0,-12.4188551833,-4.63766062603
broby,æː,3,99.0,510.0,-12.2373490112,-5.81753894081
