method,space,vowel,response,n_villages,spline_df,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p,knots_geo_y,coefficient_0,coefficient_1,coefficient_2,coefficient_3
fasttrack,bark,uː,display_x,91,4,0.47868989565031905,26.629077123254014,2.596245093806923e-12,24.882311252329536,2.845957739374224e-09,122;312.5;450;543,-7.978916632322562,0.0030427231177173213,-1.354364789596378e-06,-8.246914806572377e-05
fasttrack,bark,uː,display_y,91,4,0.18889694053927908,6.753779574301285,0.0003784097914451612,5.701683529638265,0.0047114466385853385,122;312.5;450;543,-4.3863177666965765,0.002222218151972782,-8.759745677502747e-06,3.237551684533064e-06
fasttrack,bark,oː,display_x,90,4,0.4334525945205083,21.932217715135288,1.2214955125653235e-10,31.706492640161457,4.838766348611504e-11,122;311.25;451;543,-7.816770000341202,0.0009981423677285612,1.7840514847443536e-05,-0.00010592161433058196
fasttrack,bark,oː,display_y,90,4,0.2860106839088593,11.483327206641329,2.0975992239992527e-06,17.16945583048411,5.320739390438144e-07,122;311.25;451;543,-4.380009430188927,-0.001490111001065638,1.7430072423562035e-05,-6.412791575318974e-05
fasttrack,bark,ɑː,display_x,88,4,0.06451064979642596,1.9308591742993662,0.1308073893735553,2.7526963761252485,0.06951259560052246,122;315.25;453;543,-8.447426797548792,0.0001533943454892618,7.579809586487336e-06,-3.579237570192356e-05
fasttrack,bark,ɑː,display_y,88,4,0.10074157716922294,3.136767017270469,0.029667013500424045,1.008931358691913,0.36898339422598536,122;315.25;453;543,-6.096555452983205,0.001618933435175526,-1.3973396513403545e-06,-2.748934512361348e-06
fasttrack,bark,æː,display_x,88,4,0.040679740249052854,1.1873331303033183,0.3195790426034886,1.2405485903407498,0.2944692830306219,122;315.25;453;543,-11.396511233966502,-0.0020093375931949636,6.136219113910871e-07,1.3068847767641001e-05
fasttrack,bark,æː,display_y,88,4,0.07014587381157034,2.1122500953724335,0.10476124320430409,1.8064315159247297,0.17056085647615996,122;315.25;453;543,-6.849453169733907,0.0037582794514301253,-9.058250668194669e-06,9.578791731307837e-06
fasttrack,bark,eː,display_x,88,4,0.11086841224058452,3.4914017064213723,0.019181745519292928,3.862138612810837,0.024853610482669753,122;318.5;453;543,-13.495778111023487,0.004216141117800584,-2.81455034574836e-05,8.049760471624312e-05
fasttrack,bark,eː,display_y,88,4,0.19784607198478255,6.906018685566826,0.0003266784498099986,9.615487494470942,0.00017366359619872354,122;318.5;453;543,-4.206189041213945,-0.0032636163860463884,2.5001944995505526e-05,-8.143647485791373e-05
fasttrack,bark,yː,display_x,87,4,0.1456170899866568,4.715379301732425,0.0043445267993576075,0.018659637105586893,0.9815174923188682,122;322.5;454;543,-13.389189685520812,0.001844388247744356,1.5266699108602397e-06,-5.0517101369923175e-06
fasttrack,bark,yː,display_y,87,4,0.17016058533416634,5.67311712488498,0.0013871875665163688,3.6652913981795616,0.029826076406330043,122;322.5;454;543,-3.8167317874205464,-0.0002701049263347979,1.3375094651001128e-06,-1.6900124506186273e-05
fasttrack,bark,ʉ̟ː,display_x,88,4,0.1588696761162186,5.288539486621513,0.002174429982193374,7.842164174927582,0.0007540510674420722,122;313.75;449;543,-14.216406384599594,0.01372353905678028,-5.6505144467121895e-05,0.00011722363227177449
fasttrack,bark,ʉ̟ː,display_y,88,4,0.06119247041941611,1.8250696950727605,0.14882090782969076,0.09585785737575617,0.9086924018241604,122;313.75;449;543,-3.799239381686637,-0.00037943509890040904,-1.4548131013376856e-06,1.2756519969431289e-06
fasttrack,bark,øː,display_x,90,4,0.05117514766209752,1.5461451036322038,0.20842575039126618,2.0502417210699746,0.13494822934202413,122;311.25;451;543,-12.614742927060497,0.007517089584071054,-3.078816586365589e-05,6.552562171805714e-05
fasttrack,bark,øː,display_y,90,4,0.025446165682612376,0.7485032882551511,0.5261626356660847,1.122313583915389,0.3302460892321406,122;311.25;451;543,-4.799777635481323,-0.001001701307287396,1.3435771735767367e-06,5.24847893842787e-06
