method,space,vowel,response,n_villages,spline_df,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p,geographic_coordinate,knots_geographic_position,coefficient_0,coefficient_1,coefficient_2,coefficient_3
fasttrack,bark,uː,display_x,79,4,0.49722924451850115,24.724451407396856,3.155189705917298e-11,22.214738675396273,2.6492011621228105e-08,axis,0;88.2473;234.754;427.282,-10.304174168069192,0.033766679543357714,-0.00025729536121038403,0.00033230247474876876
fasttrack,bark,uː,display_y,79,4,0.2378356110265184,7.8013226040003705,0.00013360204983294409,5.362924626360094,0.0066543405013668195,axis,0;88.2473;234.754;427.282,-4.467100687126899,0.004982146150575279,-2.40705757817136e-05,2.3985364601056918e-05
fasttrack,bark,oː,display_x,78,4,0.49573463306838894,24.249376917210846,4.927574890068356e-11,35.009981909188895,1.9949583052494227e-11,axis,0;87.0812;235.752;427.282,-9.169313184880318,0.02786050541326733,-0.0002562470999143756,0.00034002662807757313
fasttrack,bark,oː,display_y,78,4,0.37185951328974953,14.602680220767668,1.4573473765048e-07,21.902768666653138,3.3763119273592116e-08,axis,0;87.0812;235.752;427.282,-5.196740010429979,0.011920611214439093,-0.00012104571606303712,0.0001656327661908487
fasttrack,bark,ɑː,display_x,77,4,0.1670550006006679,4.880280231645163,0.0037879529968995085,7.296305333906466,0.0012918786467413935,axis,0;85.9151;236.75;427.282,-8.595306993673589,0.006227465731800234,-4.443886116420422e-05,4.753398910026255e-05
fasttrack,bark,ɑː,display_y,77,4,0.17720601978958994,5.240696033180331,0.0024840412019509444,3.8012338833934973,0.026888714243644914,axis,0;85.9151;236.75;427.282,-5.546739889003314,0.0006231405570355896,-9.054677784908032e-07,-7.230690444615769e-06
fasttrack,bark,æː,display_x,77,4,0.040320082506589805,1.0223429601641998,0.3878264943265314,1.0224948255463044,0.3647894499339585,axis,0;85.9151;236.75;427.282,-11.772958105683427,-0.003361825067703845,3.427442211412914e-05,-4.266050533473715e-05
fasttrack,bark,æː,display_y,77,4,0.11162743670542818,3.0575771233021385,0.03357488885681351,2.277195738531582,0.10981230142651557,axis,0;85.9151;236.75;427.282,-5.961285002534919,0.0006572700359947666,-5.248960287055042e-07,-8.454092144307274e-06
fasttrack,bark,eː,display_x,78,4,0.11575518635551152,3.229077007532502,0.02718663905786699,3.808707656707063,0.026644566009079912,axis,0;87.0812;231.029;427.282,-12.580611809002047,-0.008907528657238017,0.00011887569715746459,-0.00017703930973724666
fasttrack,bark,eː,display_y,78,4,0.2929246723665896,10.218819649517359,1.0416568258167206e-05,14.985677746692506,3.433732891804241e-06,axis,0;87.0812;231.029;427.282,-5.191754960722482,0.011590803832438573,-0.00013152202782577092,0.00018803056079043113
fasttrack,bark,yː,display_x,76,4,0.15305245380350785,4.337055946121113,0.00724126461738026,0.046535956140282435,0.9545589245280178,axis,0;83.9627;233.755;427.282,-12.314546268082996,-0.0014110328573650789,-1.1825092124896283e-05,1.873112040827003e-05
fasttrack,bark,yː,display_y,76,4,0.21482983821969615,6.566622584819229,0.0005494133281478142,3.7505027609175157,0.028219901501151102,axis,0;83.9627;233.755;427.282,-4.41589201981658,0.005006141049302816,-3.168017133752808e-05,3.7394543564851477e-05
fasttrack,bark,ʉ̟ː,display_x,78,4,0.1189691620754898,3.3308398959585523,0.024029222460898378,3.6570776167504664,0.03057918548549358,axis,0;87.0812;235.752;427.282,-11.165427893730302,-0.005804393665993268,8.23581726116091e-05,-0.00013330330356282818
fasttrack,bark,ʉ̟ː,display_y,78,4,0.09214062846326443,2.503473819864136,0.06576151252910936,0.0683085427252137,0.9340310796967226,axis,0;87.0812;235.752;427.282,-4.163776088170849,0.00045675699208430707,8.487253258729745e-06,-1.3626365923601342e-05
fasttrack,bark,øː,display_x,78,4,0.11568938938752626,3.227001429866205,0.027255223711261028,4.784809747892731,0.011111735975389236,axis,0;87.0812;235.752;427.282,-10.66175378399149,-0.0074717991839899685,0.00012468592538344254,-0.00020379812874205618
fasttrack,bark,øː,display_y,78,4,0.030343676995082225,0.7718996392033006,0.5133862744230308,0.9978733202442174,0.3735683211961795,axis,0;87.0812;235.752;427.282,-4.911683315525857,-0.0014797878896989627,3.002056323981336e-06,2.1359125236432266e-06
