lexical_item	mapped_target_label	mapped_ipa	is_mapped	total_count	surface_seg_counts
låt	o:	oː	yes	1151	o::1121; O::25; A::3; O:1; a::1
dör	ö:	øː	yes	1132	Ö::434; o_e::279; ö::243; 9::36; O_E::22; Ä:19; E::12; öi:11; A::10; O::9; öa:8; o_ey:7; öy:7; Öi:6; oi:5; o::4; ö:a:3; ö:E:3; Öy:3; U::2; ä:2; Ö:;:1; U:1; a::1; o_ei:1; E:1; o_e:1; Ö:1
nät	ä:	æː	yes	1132	ä::918; e::84; Ä::68; a:19; ie:11; ä:10; a::9; E::5; ä~::4; ie::2; ä_:1; ä.:1
lat	A:	ɑː	yes	1125	A::1004; a::61; O::26; a:13; A:8; o::4; EA::2; AE:2; au:2; ö::1; a:;:1; A:E:1
sot	u:	uː	yes	1123	u::1014; o::68; ou:12; uo_e:6; Ou::5; u:E:4; O::4; Uo_e:3; ou::2; ö::2; o:1; U::1; u.:1
leta	e:	eː	yes	1119	e::962; ä::74; ei:60; Äi:13; i::5; e:2; A::1; ee:1; o_e::1
lär	ä:	æː	yes	1102	Ä::798; ä::266; e::23; <::5; E::3; Ä:;:2; Ä:2; ä:1; a::1; ö::1
lus	U:	ʉ̟ː	yes	1099	U::1033; u::26; au:7; O_E:6; O_E::6; o::5; \}::4; o_e::3; Ö:3; oy:2; I::1; i:1; U:E:1; UE:1
lös	ö:	øː	yes	1096	ö::666; o_e::270; Ö::47; au:17; O_E::13; E::12; öE:7; o_eu:6; ÖU:6; ai:6; öu:6; öU:5; oi:5; u:4; Öu:4; U::4; ou:4; o:3; 2::3; öU::3; ö:E:2; ö:;:1; o_e:1; O_E:1
typ	y:	yː	yes	1082	y::990; U::30; i::28; I::18; e::5; o_e::5; y:3; ö::3
läs	ä:	æː	yes	831	ä::666; e::65; Ä::43; ä:14; ie:11; e:a:10; e:9; E::5; eä:4; o_e::2; ea:1; iE:1
sova	o:	oː	yes	659	o::573; O::27; o_e::22; Ö::21; a::5; ö::4; e::4; O_E::3
lås	o:	oː	yes	603	o::526; O::51; o~:6; ao:5; uo:5; uo::3; uO:3; u~:1; O:1; y::1; o:1
gles	e:	eː	yes	254	e::198; ä::29; i:17; i::6; ie:1; Ä::1; ei::1; ey::1
ost	u:	uː	yes	212	u:187; ou:10; u::10; U:2; O_E:1; Ou::1; au:1
rör	ö:	øː	yes	67	Ö::27; o_e:23; ö::7; 9::6; o_e::4
rot	u:	uː	yes	55	u::22; u:13; ou:11; uo_e:8; Uo_e:1
grus	U:	ʉ̟ː	yes	34	U:19; U::14; y::1
nya	y:	yː	yes	33	y::26; i::7
fräs	ä:	æː	yes	30	ä::26; Ä::4
sköta	ö:	øː	yes	28	ö::14; Ö::13; O_E::1
gråt	o:	oː	yes	26	o::26
hes	e:	eː	yes	26	e::15; ä::8; ei:3
rök	ö:	øː	yes	24	Ö::8; o_e::7; öu:4; ÖU:3; ö::2
grep	e:	eː	yes	23	e::9; ä::7; ei:4; ei::2; i::1
gård	o:	oː	yes	23	o::12; o:11
skjuta	U:	ʉ̟ː	yes	22	U::15; u::7
vev	e:	eː	yes	22	e::9; ä::7; ei::3; ei:3
tyskt	y:	yː	yes	21	y::12; y:9
väv	ä:	æː	yes	21	Ä::11; ä::10
båt	o:	oː	yes	20	o::20
skön	ö:	øː	yes	19	ö::9; o_e::7; Ö::3
sten	e:	eː	yes	16	e::12; ä::4
glas	A:	ɑː	yes	15	A::10; a::5
gren	e:	eː	yes	15	e::12; ä::3
plåt	o:	oː	yes	15	o::10; uo:5
prytt	y:	yː	yes	15	y::10; y:5
tyg	y:	yː	yes	15	y::15
stör	ö:	øː	yes	14	ö::7; o_e::5; yö::1; yö:1
smör	ö:	øː	yes	12	o_e::9; ö::3
steg	e:	eː	yes	9	e::9
huset	U:	ʉ̟ː	yes	4	U::4
stuga	U:	ʉ̟ː	yes	4	U::4
styv	y:	yː	yes	3	y::3
