region_marker,geographic_position,first_x,first_y,second_x,second_y,pair_length,directed_angle_from_horizontal_deg,pair,first_vowel,second_vowel
North,255.41444457498878,-7.2084046692245405,-4.528578856047559,-8.032767064802195,-5.514499722473013,1.285151086096747,-129.90015719173786,oː->ɑː,oː,ɑː
Centre,114.57844242616318,-6.85258195060022,-4.2425688731657925,-8.007064469495031,-5.479636197313883,1.6920890788929006,-133.02225266191076,oː->ɑː,oː,ɑː
South,42.96691590981119,-8.017063179112965,-4.700946073413207,-8.326391780007265,-5.52023881109753,0.8757424126725263,-110.68431235529133,oː->ɑː,oː,ɑː
